,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1745001,"(4S)-2-(1,3-benzothiazol-2-yl)-4-[1-(4-methoxyanilino)ethenyl]-5-(trifluoromethyl)-4H-pyrazol-3-one",COC1=CC=C(C=C1)NC(=C)[C@H]2C(=NN(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,,,,,,
1,1745002,"(6R,6aS)-6-(3-methoxy-4-propoxyphenyl)-9,9-dimethyl-6,6a,8,11-tetrahydro-5H-benzo[b][1,4]benzodiazepin-7-one",CCCOC1=C(C=C(C=C1)[C@H]2[C@@H]3C(=O)CC(C=C3NC4=CC=CC=C4N2)(C)C)OC,,,,,,
2,1745003,"(6S,6aR)-6-(3-methoxy-4-propoxyphenyl)-9,9-dimethyl-6,6a,8,11-tetrahydro-5H-benzo[b][1,4]benzodiazepin-7-one",CCCOC1=C(C=C(C=C1)[C@@H]2[C@H]3C(=O)CC(C=C3NC4=CC=CC=C4N2)(C)C)OC,,,,,,
3,1745004,CID 1745004,CCCOC1=CC=CC(=C1)[C@H]2[C@H]3C(=O)CC(C=C3NC4=CC=CC=C4N2C(=O)CC)(C)C,,,,,,
4,1745005,CID 1745005,CCCOC1=CC=CC(=C1)[C@@H]2[C@@H]3C(=O)CC(C=C3NC4=CC=CC=C4N2C(=O)CC)(C)C,,,,,,
5,1745006,CID 1745006,CCN1C2=C(C=C(C=C2)C[NH+]3CC[NH+](CC3)CC4=C(C(=CC=C4)OC)OC)C5=CC=CC=C51,,,,,,
6,1745007,"3-[[4-[(2,3-Dimethoxyphenyl)methyl]piperazin-1-yl]methyl]-9-ethylcarbazole",CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=C(C(=CC=C4)OC)OC)C5=CC=CC=C51,,,,,,
7,1745008,"1-[(4,5-Dimethoxy-2-nitrophenyl)methyl]-4-[(3-nitrophenyl)methyl]piperazine-1,4-diium",COC1=C(C=C(C(=C1)C[NH+]2CC[NH+](CC2)CC3=CC(=CC=C3)[N+](=O)[O-])[N+](=O)[O-])OC,,,,,,
8,1745009,"1-(4,5-Dimethoxy-2-nitro-benzyl)-4-(3-nitro-benzyl)-piperazine",COC1=C(C=C(C(=C1)CN2CCN(CC2)CC3=CC(=CC=C3)[N+](=O)[O-])[N+](=O)[O-])OC,,,,,,
9,1745010,"(6R,6aS)-5-acetyl-9,9-dimethyl-6-(3-propoxyphenyl)-6,6a,8,11-tetrahydrobenzo[b][1,4]benzodiazepin-7-one",CCCOC1=CC=CC(=C1)[C@H]2[C@@H]3C(=O)CC(C=C3NC4=CC=CC=C4N2C(=O)C)(C)C,,,,,,
10,1745011,"(6S,6aS)-5-acetyl-9,9-dimethyl-6-(3-propoxyphenyl)-6,6a,8,11-tetrahydrobenzo[b][1,4]benzodiazepin-7-one",CCCOC1=CC=CC(=C1)[C@@H]2[C@@H]3C(=O)CC(C=C3NC4=CC=CC=C4N2C(=O)C)(C)C,,,,,,
11,1745012,CID 1745012,CCCCCC(=O)N1[C@@H]([C@@H]2C(=O)CC(C=C2NC3=CC=CC=C31)(C)C)C4=CC=CC=C4OC,,,,,,
12,1745013,CID 1745013,CCCCCC(=O)N1[C@H]([C@@H]2C(=O)CC(C=C2NC3=CC=CC=C31)(C)C)C4=CC=CC=C4OC,,,,,,
13,1745014,CID 1745014,CCCCCC(=O)N1[C@@H]([C@@H]2C(=O)CC(C=C2NC3=CC=CC=C31)(C)C)C4=C(C=CC(=C4)OC)OC,,,,,,
14,1745015,"(6S)-6-(2,5-dimethoxyphenyl)-5-hexanoyl-9,9-dimethyl-6,8,10,11-tetrahydrobenzo[b][1,4]benzodiazepin-7-one",CCCCCC(=O)N1[C@H](C2=C(CC(CC2=O)(C)C)NC3=CC=CC=C31)C4=C(C=CC(=C4)OC)OC,,,,,,
