,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1190001,"4-bromo-N-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]benzenesulfonamide",COC1=CC(=CC(=C1O)OC)C=NS(=O)(=O)C2=CC=C(C=C2)Br,,,,,,
1,1190002,4-bromo-N-[(4-tert-butylphenyl)methylidene]benzenesulfonamide,CC(C)(C)C1=CC=C(C=C1)C=NS(=O)(=O)C2=CC=C(C=C2)Br,,,,,,
2,1190003,4-bromo-N-[(3-bromo-4-hydroxy-5-methoxyphenyl)methylidene]benzenesulfonamide,COC1=C(C(=CC(=C1)C=NS(=O)(=O)C2=CC=C(C=C2)Br)Br)O,,,,,,
3,1190004,N-[(3-bromo-4-hydroxy-5-methoxyphenyl)methylidene]-2-phenylethane-1-sulfonamide,COC1=C(C(=CC(=C1)C=NS(=O)(=O)CCC2=CC=CC=C2)Br)O,,,,,,
4,1190005,"N-[(3,5-dibromo-4-hydroxyphenyl)methylidene]-2-phenylethanesulfonamide",C1=CC=C(C=C1)CCS(=O)(=O)N=CC2=CC(=C(C(=C2)Br)O)Br,,,,,,
5,1190006,N-[(3-bromo-5-ethoxy-4-hydroxyphenyl)methylidene]thiophene-2-sulfonamide,CCOC1=C(C(=CC(=C1)C=NS(=O)(=O)C2=CC=CS2)Br)O,,,,,,
6,1190007,"(Z)-N-(3,5-dibromo-4-hydroxybenzylidene)aniline oxide",C1=CC=C(C=C1)N(C=C2C=C(C(=O)C(=C2)Br)Br)O,,,,,,
7,1190008,"N-(2,4-dichlorophenyl)-2-[(2R)-6,7-dimethyl-3-oxo-2,4-dihydro-1H-quinoxalin-2-yl]acetamide",CC1=CC2=C(C=C1C)NC(=O)[C@H](N2)CC(=O)NC3=C(C=C(C=C3)Cl)Cl,,,,,,
8,1190009,"methyl 5-ethyl-2-[[2-[(2S)-3-oxo-6-(trifluoromethyl)-4H-1,4-benzothiazin-2-yl]acetyl]amino]thiophene-3-carboxylate",CCC1=CC(=C(S1)NC(=O)C[C@H]2C(=O)NC3=C(S2)C=CC(=C3)C(F)(F)F)C(=O)OC,,,,,,
9,1190010,"methyl 5-ethyl-2-[[2-[(2R)-3-oxo-6-(trifluoromethyl)-4H-1,4-benzothiazin-2-yl]acetyl]amino]thiophene-3-carboxylate",CCC1=CC(=C(S1)NC(=O)C[C@@H]2C(=O)NC3=C(S2)C=CC(=C3)C(F)(F)F)C(=O)OC,,,,,,
10,1190011,"4-allyl-1-anilino-6,7,8,9-tetrahydro[1]benzothieno[3,2-e][1,2,4]triazolo[4,3-a]pyrimidin-5(4H)-one",C=CCN1C(=O)C2=C(N3C1=NN=C3NC4=CC=CC=C4)SC5=C2CCCC5,,,,,,
11,1190012,"(1R,2S,9R,10S,11S)-9-(3,4-dimethoxyphenyl)-3,7-dithia-5-azatetracyclo[9.2.1.02,10.04,8]tetradec-4(8)-en-6-one",COC1=C(C=C(C=C1)[C@H]2[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3SC5=C2SC(=O)N5)OC,,,,,,
12,1190013,"(1S,2S,9R,10S,11R)-9-(4-hydroxy-3-methoxyphenyl)-3,7-dithia-5-azatetracyclo[9.2.1.02,10.04,8]tetradec-4(8)-en-6-one",COC1=C(C=CC(=C1)[C@H]2[C@@H]3[C@@H]4CC[C@@H](C4)[C@@H]3SC5=C2SC(=O)N5)O,,,,,,
13,1190014,"(1S,2R,9S,10R,11R)-9-(4-bromophenyl)-3,7-dithia-5-azatetracyclo[9.2.1.02,10.04,8]tetradec-4(8)-en-6-one",C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2SC4=C([C@@H]3C5=CC=C(C=C5)Br)SC(=O)N4,,,,,,
14,1190015,"(1R,2S,9R,10S,11S)-9-(2-hydroxy-3-methoxyphenyl)-3,7-dithia-5-azatetracyclo[9.2.1.02,10.04,8]tetradec-4(8)-en-6-one",COC1=CC=CC(=C1O)[C@H]2[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3SC5=C2SC(=O)N5,,,,,,
15,1190016,"diethyl (5S,6R,7R)-7-(4-chlorophenyl)-2-oxo-3,5,6,7-tetrahydrothiopyrano[2,3-d][1,3]thiazole-5,6-dicarboxylate",CCOC(=O)[C@H]1[C@@H](C2=C(NC(=O)S2)S[C@@H]1C(=O)OCC)C3=CC=C(C=C3)Cl,,,,,,
16,1190017,"dimethyl (5S,6S,7S)-7-(4-methoxyphenyl)-2-oxo-3,5,6,7-tetrahydrothiopyrano[2,3-d][1,3]thiazole-5,6-dicarboxylate",COC1=CC=C(C=C1)[C@@H]2[C@H]([C@H](SC3=C2SC(=O)N3)C(=O)OC)C(=O)OC,,,,,,
17,1190018,"N-(2,3-dichlorophenyl)-2-[[(7S)-7-methyl-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-4-yl]sulfanyl]acetamide",C[C@H]1CCC2=C(C1)SC3=C2C(=NC=N3)SCC(=O)NC4=C(C(=CC=C4)Cl)Cl,,,,,,
18,1190019,"N-(2,3-dichlorophenyl)-2-[[(7R)-7-methyl-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-4-yl]sulfanyl]acetamide",C[C@@H]1CCC2=C(C1)SC3=C2C(=NC=N3)SCC(=O)NC4=C(C(=CC=C4)Cl)Cl,,,,,,
19,1190020,"methyl 2-[[2-[[(7S)-7-methyl-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-4-yl]sulfanyl]acetyl]amino]benzoate",C[C@H]1CCC2=C(C1)SC3=C2C(=NC=N3)SCC(=O)NC4=CC=CC=C4C(=O)OC,,,,,,
20,1190021,"methyl 2-[[2-[[(7R)-7-methyl-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-4-yl]sulfanyl]acetyl]amino]benzoate",C[C@@H]1CCC2=C(C1)SC3=C2C(=NC=N3)SCC(=O)NC4=CC=CC=C4C(=O)OC,,,,,,
