,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1805001,CID 1805001,CC1=CC=CC=C1C(=O)OC2=CC3=C(C=C2)C(=O)/C(=C\C4=C(C=C(C=C4)OC)OC)/O3,,,,,,
1,1805002,"(5Z)-5-[(1,2-dimethylindol-3-yl)methylidene]-1-(4-ethoxyphenyl)-1,3-diazinane-2,4,6-trione",CCOC1=CC=C(C=C1)N2C(=O)/C(=C\C3=C(N(C4=CC=CC=C43)C)C)/C(=O)NC2=O,,,,,,
2,1805003,"(2Z)-2-(2,4-dimethoxybenzylidene)-3-oxo-2,3-dihydro-1-benzofuran-6-yl 2-methylbenzoate",CC1=CC=CC=C1C(=O)OC2=CC3=C(C=C2)C(=O)/C(=C/C4=C(C=C(C=C4)OC)OC)/O3,,,,,,
3,1805004,CID 1805004,COC1=CC=C(C=C1)C(=O)COC2=CC3=C(C=C2)C(=O)/C(=C\C4=C[NH+]=CC=C4)/O3,,,,,,
4,1805005,CID 1805005,COC1=CC=C(C=C1)C(=O)COC2=CC3=C(C=C2)C(=O)/C(=C\C4=CN=CC=C4)/O3,,,,,,
5,1805006,"2-[2-chloro-4-[(Z)-(3-methyl-2-methylimino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]phenoxy]acetate",CN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2)OCC(=O)[O-])Cl)/S1)C,,,,,,
6,1805007,"(2-Chloro-4-{[3-methyl-2-(methylimino)-4-oxo-1,3-thiazolidin-5-ylidene]methyl}phenoxy)acetic acid",CN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2)OCC(=O)O)Cl)/S1)C,,,,,,
7,1805008,"2-[2-chloro-4-[(E)-(3-methyl-2-methylimino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]phenoxy]acetate",CN=C1N(C(=O)/C(=C\C2=CC(=C(C=C2)OCC(=O)[O-])Cl)/S1)C,,,,,,
8,1805009,"(2-chloro-4-{(E)-[(2Z)-3-methyl-2-(methylimino)-4-oxo-1,3-thiazolidin-5-ylidene]methyl}phenoxy)acetic acid",CN=C1N(C(=O)/C(=C\C2=CC(=C(C=C2)OCC(=O)O)Cl)/S1)C,,,,,,
9,1805010,CID 1805010,COC1=CC=C(C=C1)C(=O)COC2=CC3=C(C=C2)C(=O)/C(=C/C4=C[NH+]=CC=C4)/O3,,,,,,
