,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,675001,2-(2-ethyl-N-methylsulfonylanilino)-N-[[(2R)-oxolan-2-yl]methyl]acetamide,CCC1=CC=CC=C1N(CC(=O)NC[C@H]2CCCO2)S(=O)(=O)C,,,,,,
1,675002,2-(2-ethyl-N-methylsulfonylanilino)-N-[[(2S)-oxolan-2-yl]methyl]acetamide,CCC1=CC=CC=C1N(CC(=O)NC[C@@H]2CCCO2)S(=O)(=O)C,,,,,,
2,675003,"Methyl 2-(3-phenylprop-2-enoylamino)-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",COC(=O)C1=C(SC2=C1CCCC2)NC(=O)C=CC3=CC=CC=C3,,,,,,
3,675004,"Methyl 2-cinnamamido-4,5,6,7-tetrahydrobenzo[b]thiophene-3-carboxylate",COC(=O)C1=C(SC2=C1CCCC2)NC(=O)/C=C/C3=CC=CC=C3,,,,,,
4,675005,"Methyl 2-[(4-fluorobenzoyl)amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",COC(=O)C1=C(SC2=C1CCCC2)NC(=O)C3=CC=C(C=C3)F,,,,,,
5,675006,N-benzyl-2-chloro-N-methylbenzamide,CN(CC1=CC=CC=C1)C(=O)C2=CC=CC=C2Cl,,,,,,
6,675007,"Methyl 2-[(phenoxyacetyl)amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",COC(=O)C1=C(SC2=C1CCCC2)NC(=O)COC3=CC=CC=C3,,,,,,
7,675008,N-(4-iodo-2-methylphenyl)acetamide,CC1=C(C=CC(=C1)I)NC(=O)C,,,,,,
8,675009,2-(4-chlorophenoxy)-N-(2-methoxy-5-nitrophenyl)acetamide,COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)COC2=CC=C(C=C2)Cl,,,,,,
9,675010,N-(3-methoxyphenyl)-3-phenylpropanamide,COC1=CC=CC(=C1)NC(=O)CCC2=CC=CC=C2,,,,,,
10,675011,"ethyl (3aS,4S,9bR)-4-pyridin-3-yl-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline-8-carboxylate",CCOC(=O)C1=CC2=C(C=C1)N[C@@H]([C@@H]3[C@H]2C=CC3)C4=CN=CC=C4,,,,,,
11,675012,"(3aR,4S,9bS)-6,9-dichloro-4-pyridin-3-yl-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline",C1C=C[C@H]2[C@@H]1[C@H](NC3=C(C=CC(=C23)Cl)Cl)C4=CN=CC=C4,,,,,,
12,675013,"(3aR,4R,9bS)-8-bromo-4-pyridin-4-yl-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline",C1C=C[C@H]2[C@@H]1[C@@H](NC3=C2C=C(C=C3)Br)C4=CC=NC=C4,,,,,,
13,675014,"(3aR,4S,9bS)-ethyl 8-bromo-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline-4-carboxylate",CCOC(=O)[C@@H]1[C@@H]2CC=C[C@@H]2C3=C(N1)C=CC(=C3)Br,,,,,,
14,675015,"(3aS,4S,9bR)-6-fluoro-4-(4-fluorophenyl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline",C1C=C[C@@H]2[C@H]1[C@H](NC3=C2C=CC=C3F)C4=CC=C(C=C4)F,,,,,,
