,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,2725001,(-)-8-Phenylmenthol,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)(C)C2=CC=CC=C2,,,,,,
1,2725002,Quinacrine dihydrochloride dihydrate,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.O.O.Cl.Cl,,,"['Agents used to treat tapeworm infestations in man or animals. (See all compounds classified as Anticestodal Agents.)', 'Agents used in the treatment of malaria. They are usually classified on the basis of their action against plasmodia at different stages in their life cycle in the human. (From AMA, Drug Evaluations Annual, 1992, p1585) (See all compounds classified as Antimalarials.)', 'Substances used in the treatment or control of nematode infestations. They are used also in veterinary practice. (See all compounds classified as Antinematodal Agents.)', 'Substances that inhibit or prevent the proliferation of NEOPLASMS. (See all compounds classified as Antineoplastic Agents.)', 'Compounds or agents that combine with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction. (See all compounds classified as Enzyme Inhibitors.)']",,,
2,2725003,CID 2725003,C1C[C@H](N(C1)CC2=CC=CC=C2)C(=O)[N-]C3=CC=CC=C3C(=NCC(=O)O)C4=CC=CC=C4.[Ni],,,,,,
3,2725004,[[(alphaE)-alpha-[2-[[(2S)-1-Benzyl-2-pyrrolidinyl]carbonylamino]phenyl]benzylidene]amino]acetic acid,C1C[C@H](N(C1)CC2=CC=CC=C2)C(=O)NC3=CC=CC=C3C(=NCC(=O)O)C4=CC=CC=C4,,,,,,
4,2725005,CID 2725005,C12=C(NC(=NC1=O)N)NC(=S)N2,,,,,,
5,2725006,1-Bromo-2-fluoro-4-iodobenzene,C1=CC(=C(C=C1I)F)Br,,,,,,
6,2725007,"2-(4,6-Dimethylpyrimidin-2-ylthio)acetic acid, hydrate",CC1=CC(=NC(=N1)SCC(=O)O)C.O,,,,,,
7,2725008,Chloromethyl butyrate,CCCC(=O)OCCl,,,,,,
8,2725009,Methyl 2-(benzoylamino)-3-(dimethylamino)acrylate,CN(C)/C=C(/C(=O)OC)\NC(=O)C1=CC=CC=C1,,,,,,
9,2725010,"3-[(4S)-1,3-Dimethyl-4beta,5alpha-diphenyl-2-imidazolidinyl]pyridine",CN1[C@H]([C@@H](N(C1C2=CN=CC=C2)C)C3=CC=CC=C3)C4=CC=CC=C4,,,,,,
10,2725011,"3,5-Bis(chloromethyl)-2,4,6-trimethylphenol",CC1=C(C(=C(C(=C1CCl)C)O)C)CCl,,,,,,
11,2725012,CID 2725012,CC1=C2CC3=C(C(=C(C(=C3C)O)C)CC4=C(C(=C(C(=C4C)O)C)CC5=C(C(=C(C(=C5C)CC1=C(C(=C2C)O)C)C)O)C)C)C,,,,,,
12,2725013,"2,3,4,6-Tetra-O-acetyl-beta-D-glucopyranosyl azide",CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)N=[N+]=[N-])OC(=O)C)OC(=O)C)OC(=O)C,,,,,,
13,2725014,"2,3,4,6-tetra-O-acetyl-alpha-D-glucopyranosyl azide",CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)N=[N+]=[N-])OC(=O)C)OC(=O)C)OC(=O)C,,,,,,
14,2725015,"2-Acetamido-3,4,6-tri-O-acetyl-2-deoxy-beta-D-glucopyranosyl Azide",CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1N=[N+]=[N-])COC(=O)C)OC(=O)C)OC(=O)C,,,,,,
15,2725016,"[(2R,3R,4S,5R,6R)-4,5-diacetyloxy-6-azido-3-[(2S,3R,4S,5R,6R)-3,4,5-triacetyloxy-6-(acetyloxymethyl)oxan-2-yl]oxyoxan-2-yl]methyl acetate",CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)N=[N+]=[N-])OC(=O)C)OC(=O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,,,,,,
16,2725017,"2,3,4-Tri-O-acetyl-beta-D-xylopyranosyl azide",CC(=O)O[C@@H]1CO[C@H]([C@@H]([C@H]1OC(=O)C)OC(=O)C)N=[N+]=[N-],,,,,,
17,2725018,"2-O,3-O,4-O-Triacetyl-alpha-L-fucopyranosyl azide",C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)N=[N+]=[N-])OC(=O)C)OC(=O)C)OC(=O)C,,,,,,
18,2725019,CID 2725019,[BH-](N1C=CC=N1)(N2C=CC=N2)N3C=CC=N3.[K+],,,,,,
19,2725020,Tris(1H-pyrazol-1-yl) boronanion,[BH-](N1C=CC=N1)(N2C=CC=N2)N3C=CC=N3,,,,,,
20,2725021,CID 2725021,[BH-](N1C(=CC(=N1)C)C)(N2C(=CC(=N2)C)C)N3C(=CC(=N3)C)C.[K+],,,,,,
21,2725022,"Hydridotris(3,5-dimethylpyrazol-1-yl)borate",[BH-](N1C(=CC(=N1)C)C)(N2C(=CC(=N2)C)C)N3C(=CC(=N3)C)C,,,,,,
22,2725023,5-(4-methylphenyl)-1H-pyrazole,CC1=CC=C(C=C1)C2=CC=NN2,,,,,,
23,2725024,"2,6-DI-Tert-butyl-4-methylphenyldiazo acetate",CC1=CC(=C(C(=C1)C(C)(C)C)OC(=O)C=[N+]=[N-])C(C)(C)C,,,,,,
24,2725025,"2-(2,6-Ditert-butyl-4-methylphenoxy)-2-hydroxyethenediazonium",CC1=CC(=C(C(=C1)C(C)(C)C)OC(=C[N+]#N)O)C(C)(C)C,,,,,,
25,2725026,"((4R,5R)-2,2-Dimethyl-1,3-dioxolane-4,5-diyl)bis(diphenylmethanol)",CC1(O[C@H]([C@@H](O1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O)C,,,,,,
26,2725027,"2',2'-Dimethylspiro[1,3-oxazolidine-5,3'-bicyclo[2.2.1]heptane]-2-one",CC1(C2CCC(C2)C13CNC(=O)O3)C,,,,,,
27,2725028,CID 2725028,CSC1=NN=C(C(=N[N-]C(=NN=C(C(=N[N-]1)C2=CC=CC=C2)C3=CC=CC=C3)SC)C4=CC=CC=C4)C5=CC=CC=C5.[Ni+2],,,,,,
28,2725029,2-(1-Benzylpiperidin-4-yl)ethanol,C1CN(CCC1CCO)CC2=CC=CC=C2,,,,,,
29,2725030,Calix[4]biscrown6,C1COCCOCCOC2=C3CC4=CC=CC5=C4OCCOCCOCCOCCOCCOC6=C(CC7=CC=CC(=C7OCCOCCO1)C5)C=CC=C6CC2=CC=C3,,,,,,
30,2725031,CID 2725031,C1COC2=CC=CC=C2OCCOCCOC3=C4CC5=CC=CC6=C5OCCOCCOC7=CC=CC=C7OCCOCCOC8=C(CC9=CC=CC(=C9OCCO1)C6)C=CC=C8CC3=CC=C4,,,,,,
31,2725032,CID 2725032,C1COC2=CC3=CC=CC=C3C=C2OCCOCCOC4=C5CC6=CC=CC7=C6OCCOCCOC8=CC9=CC=CC=C9C=C8OCCOCCOC2=C(CC3=CC=CC(=C3OCCO1)C7)C=CC=C2CC4=CC=C5,,,,,,
32,2725033,CID 2725033,CC1[C@H]([C@](C[C@H](O1)OC2[C@H](OC([C@@H](C2O)O)CO)OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)[O-])CC(=O)N)NC(=O)[C@H](CC(C)C)[NH2+]C)O)Cl)(C)N)O.Cl,,,,,,
33,2725034,CID 2725034,CC1[C@H]([C@](C[C@H](O1)OC2[C@H](OC([C@@H](C2O)O)CO)OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@H](CC(C)C)NC)O)Cl)(C)N)O,,,,,,
34,2725035,N-Trifluoroacetyl-L-glutamine,C(CC(=O)N)[C@@H](C(=O)O)NC(=O)C(F)(F)F,,,,,,
35,2725036,Glycine tert butyl ester hydrochloride,CC(C)(C)OC(=O)CN.Cl,,,,,,
