,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,2850001,1-[4-[[5-[(4-Ethoxyphenyl)diazenyl]-2-hydroxyphenyl]methylideneamino]phenyl]ethanone,CCOC1=CC=C(C=C1)N=NC2=CC(=C(C=C2)O)C=NC3=CC=C(C=C3)C(=O)C,,,,,,
1,2850002,"1-(3,4-Dimethylphenyl)-4-[(3-ethoxy-4-hydroxyphenyl)methylidene]pyrazolidine-3,5-dione",CCOC1=C(C=CC(=C1)C=C2C(=O)NN(C2=O)C3=CC(=C(C=C3)C)C)O,,,,,,
2,2850003,(1-Methyl-1H-benzoimidazol-2-yl)-(1-methyl-2-phenyl-1H-indol-3-yl)-diazene,CN1C2=CC=CC=C2C(=C1C3=CC=CC=C3)N=NC4=NC5=CC=CC=C5N4C,,,,,,
3,2850004,5-[[3-[(4-Nitrophenyl)methoxy]phenyl]methylidene]-2-sulfanylideneimidazolidin-4-one,C1=CC(=CC(=C1)OCC2=CC=C(C=C2)[N+](=O)[O-])C=C3C(=O)NC(=S)N3,,,,,,
4,2850005,Cambridge id 5527330,CC1=C(C=C(C=C1)C(C2=CC=CC=C2)NC(=O)N)C,,,,,,
5,2850006,1-(4-Nitrophenyl)-4-benzoylpiperazine,C1CN(CCN1C2=CC=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=CC=C3,,,,,,
6,2850007,"2-Bromo-4-[[[4,6-di(piperidin-1-yl)-1,3,5-triazin-2-yl]hydrazinylidene]methyl]-6-methoxyphenol",COC1=C(C(=CC(=C1)C=NNC2=NC(=NC(=N2)N3CCCCC3)N4CCCCC4)Br)O,,,,,,
7,2850008,"1,3-dimethyl-2-(3,4,5-trimethoxyphenyl)-1H-benzo[d]imidazol-3-ium chloride",CN1C2=CC=CC=C2[N+](=C1C3=CC(=C(C(=C3)OC)OC)OC)C.[Cl-],,,,,,
8,2850009,"3-(4-Bromophenyl)-2-(3-nitrophenyl)-1,2-dihydroquinazolin-4-one",C1=CC=C2C(=C1)C(=O)N(C(N2)C3=CC(=CC=C3)[N+](=O)[O-])C4=CC=C(C=C4)Br,,,,,,
9,2850010,"3-(3,4-dimethoxyphenyl)-N-(1-phenylpropan-2-yl)prop-2-enamide",CC(CC1=CC=CC=C1)NC(=O)C=CC2=CC(=C(C=C2)OC)OC,,,,,,
10,2850011,"ethyl N-[2,5-dioxo-1-(4-propoxyphenyl)pyrrolidin-3-yl]glycinate",CCCOC1=CC=C(C=C1)N2C(=O)CC(C2=O)NCC(=O)OCC,,,,,,
11,2850012,CID 2850012,C1=CC2=NC(=NN=CC3=C(C(=CC=C3)N(O)O)O)N=C2C=C1,,,,,,
12,2850013,Methyl 3-[(1-ethylpyridin-1-ium-4-carbonyl)amino]benzoate;iodide,CC[N+]1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C(=O)OC.[I-],,,,,,
13,2850014,N-(2-methoxybenzyl)-2-methyl-4-nitroaniline,CC1=C(C=CC(=C1)[N+](=O)[O-])NCC2=CC=CC=C2OC,,,,,,
14,2850015,4-nitro-N-{4-[(E)-phenyldiazenyl]phenyl}benzamide,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],,,,,,
15,2850016,"4,4,4-Trifluoro-3-hydroxy-1-(2-hydroxy-5-methylphenyl)-3-phenylbutan-1-one",CC1=CC(=C(C=C1)O)C(=O)CC(C2=CC=CC=C2)(C(F)(F)F)O,,,,,,
