,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1225001,"N-[[(3aS,7aS)-2-methyl-1,3-dioxo-3a,7a-dihydroisoindol-5-yl]carbamothioyl]-3-chloro-4-methylbenzamide",CC1=C(C=C(C=C1)C(=O)NC(=S)NC2=C[C@H]3[C@H](C=C2)C(=O)N(C3=O)C)Cl,,,,,,
1,1225002,"N-{[3-chloro-4-(pyrrolidin-1-yl)phenyl]carbamothioyl}-3,5-dimethoxybenzamide",COC1=CC(=CC(=C1)C(=O)NC(=S)NC2=CC(=C(C=C2)N3CCCC3)Cl)OC,,,,,,
2,1225003,"N-(2,4-dibromophenyl)-2-[(5R)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@H](S1)CC(=O)NC2=C(C=C(C=C2)Br)Br)C(C)C,,,,,,
3,1225004,"N-(2,4-dibromophenyl)-2-[(5S)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@@H](S1)CC(=O)NC2=C(C=C(C=C2)Br)Br)C(C)C,,,,,,
4,1225005,"N-(4-bromophenyl)-2-[(5R)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@H](S1)CC(=O)NC2=CC=C(C=C2)Br)C(C)C,,,,,,
5,1225006,"N-(4-bromophenyl)-2-[(5S)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@@H](S1)CC(=O)NC2=CC=C(C=C2)Br)C(C)C,,,,,,
6,1225007,"N-(4-iodophenyl)-2-[(5R)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@H](S1)CC(=O)NC2=CC=C(C=C2)I)C(C)C,,,,,,
7,1225008,"N-(4-iodophenyl)-2-[(5S)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@@H](S1)CC(=O)NC2=CC=C(C=C2)I)C(C)C,,,,,,
8,1225009,"N-(2,4-dichlorophenyl)-2-[(5R)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@H](S1)CC(=O)NC2=C(C=C(C=C2)Cl)Cl)C(C)C,,,,,,
9,1225010,"N-(2,4-dichlorophenyl)-2-[(5S)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@@H](S1)CC(=O)NC2=C(C=C(C=C2)Cl)Cl)C(C)C,,,,,,
10,1225011,"N-(5-chloro-2-methoxyphenyl)-2-[(5R)-4-oxo-3-propan-2-yl-2-propan-2-ylimino-1,3-thiazolidin-5-yl]acetamide",CC(C)N=C1N(C(=O)[C@H](S1)CC(=O)NC2=C(C=CC(=C2)Cl)OC)C(C)C,,,,,,
