,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,990001,6-chloro-3-[(2R)-2-hydroxypropyl]-4-methyl-7-[2-(4-methylphenyl)-2-oxoethoxy]chromen-2-one,CC1=CC=C(C=C1)C(=O)COC2=C(C=C3C(=C(C(=O)OC3=C2)C[C@@H](C)O)C)Cl,,,,,,
1,990002,6-chloro-3-[(2S)-2-hydroxypropyl]-4-methyl-7-[2-(4-methylphenyl)-2-oxoethoxy]chromen-2-one,CC1=CC=C(C=C1)C(=O)COC2=C(C=C3C(=C(C(=O)OC3=C2)C[C@H](C)O)C)Cl,,,,,,
2,990003,"(8-Iodo-3,4-dimethyl-2-oxochromen-7-yl) propanoate",CCC(=O)OC1=C(C2=C(C=C1)C(=C(C(=O)O2)C)C)I,,,,,,
3,990004,"Ethyl 4-[[2-(3,4,8-trimethyl-2-oxochromen-7-yl)oxyacetyl]amino]benzoate",CCOC(=O)C1=CC=C(C=C1)NC(=O)COC2=C(C3=C(C=C2)C(=C(C(=O)O3)C)C)C,,,,,,
4,990005,"N-(4-methoxyphenyl)-2-methyl-N-[(2-oxo-1,2-dihydroquinolin-3-yl)methyl]propanamide",CC(C)C(=O)N(CC1=CC2=CC=CC=C2NC1=O)C3=CC=C(C=C3)OC,,,,,,
5,990006,N-(4-chlorophenyl)-2-methyl-N-[(2-oxo-1H-quinolin-3-yl)methyl]propanamide,CC(C)C(=O)N(CC1=CC2=CC=CC=C2NC1=O)C3=CC=C(C=C3)Cl,,,,,,
6,990007,"(2-Acetyl-6-bromo-3,5-diethoxyphenyl) 4-ethoxybenzoate",CCOC1=CC=C(C=C1)C(=O)OC2=C(C(=CC(=C2Br)OCC)OCC)C(=O)C,,,,,,
7,990008,"2-Acetyl-3,5-diethoxy-6-iodophenyl4-ethoxybenzoate",CCOC1=CC=C(C=C1)C(=O)OC2=C(C(=CC(=C2I)OCC)OCC)C(=O)C,,,,,,
8,990009,CID 990009,CN1[C@H]2[C@H]([C@@H]([C@@H](N2C3=C1N(C(=O)N(C3=O)C)C)C(=O)C4=CC=C(C=C4)Br)C(=O)OC)C(=O)OC,,,,,,
9,990010,"(8aR)-2-[2-[4-(4-fluorophenyl)piperazin-1-yl]ethyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",C1CCN2[C@H](C1)C(=O)N(C2=O)CCN3CCN(CC3)C4=CC=C(C=C4)F,,,,,,
10,990011,"(8aS)-2-[2-[4-(4-fluorophenyl)piperazin-1-yl]ethyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",C1CCN2[C@@H](C1)C(=O)N(C2=O)CCN3CCN(CC3)C4=CC=C(C=C4)F,,,,,,
11,990012,"(7aR)-2-[3-[4-(2-methoxyphenyl)piperazin-1-yl]propyl]-5,6,7,7a-tetrahydropyrrolo[1,2-c]imidazole-1,3-dione",COC1=CC=CC=C1N2CCN(CC2)CCCN3C(=O)[C@H]4CCCN4C3=O,,,,,,
12,990013,"(7aS)-2-[3-[4-(2-methoxyphenyl)piperazin-1-yl]propyl]-5,6,7,7a-tetrahydropyrrolo[1,2-c]imidazole-1,3-dione",COC1=CC=CC=C1N2CCN(CC2)CCCN3C(=O)[C@@H]4CCCN4C3=O,,,,,,
13,990014,"(7aR)-2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-5,6,7,7a-tetrahydropyrrolo[1,2-c]imidazole-1,3-dione",C1C[C@@H]2C(=O)N(C(=O)N2C1)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,,,,,,
14,990015,"(7aS)-2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-5,6,7,7a-tetrahydropyrrolo[1,2-c]imidazole-1,3-dione",C1C[C@H]2C(=O)N(C(=O)N2C1)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,,,,,,
15,990016,"(8aR)-2-[3-[4-(2-methoxyphenyl)piperazin-1-yl]propyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",COC1=CC=CC=C1N2CCN(CC2)CCCN3C(=O)[C@H]4CCCCN4C3=O,,,,,,
16,990017,"(8aS)-2-[3-[4-(2-methoxyphenyl)piperazin-1-yl]propyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",COC1=CC=CC=C1N2CCN(CC2)CCCN3C(=O)[C@@H]4CCCCN4C3=O,,,,,,
17,990018,"(8aR)-2-[3-[4-[3-(trifluoromethyl)phenyl]piperazin-1-yl]propyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",C1CCN2[C@H](C1)C(=O)N(C2=O)CCCN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,,,,,,
18,990019,"(8aS)-2-[3-[4-[3-(trifluoromethyl)phenyl]piperazin-1-yl]propyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",C1CCN2[C@@H](C1)C(=O)N(C2=O)CCCN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,,,,,,
19,990020,"(8aR)-2-[3-[4-(4-fluorophenyl)piperazin-1-yl]propyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",C1CCN2[C@H](C1)C(=O)N(C2=O)CCCN3CCN(CC3)C4=CC=C(C=C4)F,,,,,,
20,990021,"(8aS)-2-[3-[4-(4-fluorophenyl)piperazin-1-yl]propyl]-6,7,8,8a-tetrahydro-5H-imidazo[1,5-a]pyridine-1,3-dione",C1CCN2[C@@H](C1)C(=O)N(C2=O)CCCN3CCN(CC3)C4=CC=C(C=C4)F,,,,,,
21,990022,"N,N-dibenzyl-2-nitrobenzenesulfonamide",C1=CC=C(C=C1)CN(CC2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3[N+](=O)[O-],,,,,,
22,990023,(R)-[2-[bis(dimethylamino)phosphoryloxy]-5-methoxyphenyl]-(4-methoxyphenyl)methanol,CN(C)P(=O)(N(C)C)OC1=C(C=C(C=C1)OC)[C@@H](C2=CC=C(C=C2)OC)O,,,,,,
23,990024,(S)-[2-[bis(dimethylamino)phosphoryloxy]-5-methoxyphenyl]-(4-methoxyphenyl)methanol,CN(C)P(=O)(N(C)C)OC1=C(C=C(C=C1)OC)[C@H](C2=CC=C(C=C2)OC)O,,,,,,
24,990025,(R)-[2-[bis(dimethylamino)phosphoryloxy]phenyl]-(4-methoxyphenyl)methanol,CN(C)P(=O)(N(C)C)OC1=CC=CC=C1[C@@H](C2=CC=C(C=C2)OC)O,,,,,,
25,990026,(S)-[2-[bis(dimethylamino)phosphoryloxy]phenyl]-(4-methoxyphenyl)methanol,CN(C)P(=O)(N(C)C)OC1=CC=CC=C1[C@H](C2=CC=C(C=C2)OC)O,,,,,,
26,990027,Ethyl 4-[(5-cyano-6-methylsulfanyl-2-phenylpyrimidin-4-yl)amino]benzoate,CCOC(=O)C1=CC=C(C=C1)NC2=C(C(=NC(=N2)C3=CC=CC=C3)SC)C#N,,,,,,
27,990028,"2-[2-(3,4-dimethoxyphenyl)-2-oxoethyl]-6-methoxy-N,N-dimethylbenzamide",CN(C)C(=O)C1=C(C=CC=C1OC)CC(=O)C2=CC(=C(C=C2)OC)OC,,,,,,
28,990029,"3-[4-(Diethylamino)anilino]-5,7-dimethyl-[1,2]thiazolo[3,4-d]pyrimidine-4,6-dione",CCN(CC)C1=CC=C(C=C1)NC2=C3C(=NS2)N(C(=O)N(C3=O)C)C,,,,,,
29,990030,CID 990030,C1=CC=C2C(=C1)C(=O)C(=C(NCC3=CN=CC=C3)NCC4=CN=CC=C4)C2=O,,,,,,
30,990031,"N-(2,4-dimethylphenyl)-2-(2,4,5-trichlorophenoxy)acetamide",CC1=CC(=C(C=C1)NC(=O)COC2=CC(=C(C=C2Cl)Cl)Cl)C,,,,,,
31,990032,2-benzyl-5-(benzylsulfanyl)-4-(methylsulfanyl)-3(2H)-pyridazinone,CSC1=C(C=NN(C1=O)CC2=CC=CC=C2)SCC3=CC=CC=C3,,,,,,
32,990033,"1,6-Di(1-piperidinyl)pyridazino[4',5':5,6][1,4]dithiino[2,3-d]pyridazine",C1CCN(CC1)C2=C3C(=CN=N2)SC4=C(N=NC=C4S3)N5CCCCC5,,,,,,
33,990034,"5,13-Dibenzyl-2,9-dithia-5,6,12,13-tetrazatricyclo[8.4.0.03,8]tetradeca-1(10),3(8),6,11-tetraene-4,14-dione",C1=CC=C(C=C1)CN2C(=O)C3=C(C=N2)SC4=C(S3)C(=O)N(N=C4)CC5=CC=CC=C5,,,,,,
34,990035,"1-Benzyl-3,5-diphenylpyrazolo[3,4-d]pyridazin-4-one",C1=CC=C(C=C1)CN2C3=C(C(=N2)C4=CC=CC=C4)C(=O)N(N=C3)C5=CC=CC=C5,,,,,,
35,990036,"1,5-Dibenzyl-3-phenylpyrazolo[3,4-d]pyridazin-4-one",C1=CC=C(C=C1)CN2C3=C(C(=N2)C4=CC=CC=C4)C(=O)N(N=C3)CC5=CC=CC=C5,,,,,,
36,990037,2-Benzyl-5-benzylsulfanyl-4-morpholin-4-ylpyridazin-3-one,C1COCCN1C2=C(C=NN(C2=O)CC3=CC=CC=C3)SCC4=CC=CC=C4,,,,,,
37,990038,2-{[4-(2-Carboxybenzoyl)-1-piperazinyl]carbonyl}benzoic acid,C1CN(CCN1C(=O)C2=CC=CC=C2C(=O)O)C(=O)C3=CC=CC=C3C(=O)O,,,,,,
38,990039,2-benzyl-4-(benzylsulfanyl)-5-(methylsulfanyl)-3(2H)-pyridazinone,CSC1=C(C(=O)N(N=C1)CC2=CC=CC=C2)SCC3=CC=CC=C3,,,,,,
39,990040,2-Benzyl-4-benzylsulfanyl-5-morpholin-4-ylpyridazin-3-one,C1COCCN1C2=C(C(=O)N(N=C2)CC3=CC=CC=C3)SCC4=CC=CC=C4,,,,,,
40,990041,2-Benzyl-4-benzylsulfanyl-5-ethoxypyridazin-3-one,CCOC1=C(C(=O)N(N=C1)CC2=CC=CC=C2)SCC3=CC=CC=C3,,,,,,
41,990042,CID 990042,COC1=C(C(=O)N(N=C1)C2=CC=CC=C2)SCC3=CC=CC=C3Cl,,,,,,
42,990043,"4-[(2,4-dichlorobenzyl)sulfanyl]-5-methoxy-2-phenyl-3(2H)-pyridazinone",COC1=C(C(=O)N(N=C1)C2=CC=CC=C2)SCC3=C(C=C(C=C3)Cl)Cl,,,,,,
43,990044,4-Benzylsulfanyl-2-(4-bromophenyl)-5-methoxypyridazin-3-one,COC1=C(C(=O)N(N=C1)C2=CC=C(C=C2)Br)SCC3=CC=CC=C3,,,,,,
44,990045,"ethyl (5S)-5-(4-fluorophenyl)-7-methyl-3-oxo-2-(thiophen-3-ylmethylidene)-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@H]1C3=CC=C(C=C3)F)C(=O)C(=CC4=CSC=C4)S2)C,,,,,,
45,990046,"ethyl (5R)-5-(4-fluorophenyl)-7-methyl-3-oxo-2-(thiophen-3-ylmethylidene)-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@@H]1C3=CC=C(C=C3)F)C(=O)C(=CC4=CSC=C4)S2)C,,,,,,
46,990047,"ethyl (5S)-5-(4-methoxyphenyl)-7-methyl-3-oxo-2-(thiophen-3-ylmethylidene)-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@H]1C3=CC=C(C=C3)OC)C(=O)C(=CC4=CSC=C4)S2)C,,,,,,
