,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,2975001,3-(benzylsulfonyl)-N-(4-butylphenyl)propanamide,CCCCC1=CC=C(C=C1)NC(=O)CCS(=O)(=O)CC2=CC=CC=C2,,,,,,
1,2975002,"N-[2-[(6,7-dimethoxyisoquinolin-1-yl)methyl]-4,5-dimethoxyphenyl]-2-(4-fluorophenyl)acetamide",COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CC4=CC=C(C=C4)F)OC)OC)OC,,,,,,
2,2975003,"2-(benzenesulfonyl)-N-[(4-methoxyphenyl)methyl]-5-(4-methylphenyl)-1,2,4-triazol-3-amine",CC1=CC=C(C=C1)C2=NN(C(=N2)NCC3=CC=C(C=C3)OC)S(=O)(=O)C4=CC=CC=C4,,,,,,
3,2975004,"1-Benzyl-3-(p-tolylamino)pyrrolidine-2,5-dione",CC1=CC=C(C=C1)NC2CC(=O)N(C2=O)CC3=CC=CC=C3,,,,,,
4,2975005,"8-chloro-4-pyridin-3-yl-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline",C1C=CC2C1C(NC3=C2C=C(C=C3)Cl)C4=CN=CC=C4,,,,,,
5,2975006,N-(1-adamantyl)-2-(4-fluorophenyl)sulfanylacetamide,C1C2CC3CC1CC(C2)(C3)NC(=O)CSC4=CC=C(C=C4)F,,,,,,
6,2975007,N-[[4-[(2-chloro-6-fluorophenyl)methoxy]-3-methoxyphenyl]methyl]prop-2-en-1-amine;hydrochloride,COC1=C(C=CC(=C1)CNCC=C)OCC2=C(C=CC=C2Cl)F.Cl,,,,,,
7,2975008,2-[(4-bromobenzyl)thio]-N-(2-pyridinylmethyl)acetamide,C1=CC=NC(=C1)CNC(=O)CSCC2=CC=C(C=C2)Br,,,,,,
8,2975009,"6-methoxy-4-(4-methylphenyl)-8-nitro-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline",CC1=CC=C(C=C1)C2C3CC=CC3C4=C(N2)C(=CC(=C4)[N+](=O)[O-])OC,,,,,,
9,2975010,"1-[5-[(4-Methoxyphenyl)methylamino]-3-(4-methylphenyl)-1,2,4-triazol-1-yl]butan-1-one",CCCC(=O)N1C(=NC(=N1)C2=CC=C(C=C2)C)NCC3=CC=C(C=C3)OC,,,,,,
10,2975011,N-(4-methoxyphenyl)-2-[(thiophen-2-ylacetyl)amino]benzamide,COC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)CC3=CC=CS3,,,,,,
11,2975012,"2-Ethoxy-4-(6-oxo-5,6,7,8-tetrahydro[1,3]dioxolo[4,5-g]quinolin-8-yl)phenyl cyclohexanecarboxylate",CCOC1=C(C=CC(=C1)C2CC(=O)NC3=CC4=C(C=C23)OCO4)OC(=O)C5CCCCC5,,,,,,
12,2975013,"3-(5-{[(4-methylphenoxy)acetyl]amino}-1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)propanoic acid",CC1=CC=C(C=C1)OCC(=O)NC2=CC3=C(C=C2)C(=O)N(C3=O)CCC(=O)O,,,,,,
13,2975014,4-ethyl-N-{3-methyl-1-oxo-1-[(tetrahydrofuran-2-ylmethyl)amino]butan-2-yl}benzamide,CCC1=CC=C(C=C1)C(=O)NC(C(C)C)C(=O)NCC2CCCO2,,,,,,
14,2975015,"1-{[6-(2,3-dihydro-1,4-benzodioxin-2-yl)[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-3-yl]methyl}-1H-benzimidazole",C1C(OC2=CC=CC=C2O1)C3=NN4C(=NN=C4S3)CN5C=NC6=CC=CC=C65,,,,,,
15,2975016,"1-(2,4-Dichlorophenyl)-3-[(4-methoxyphenyl)amino]pyrrolidine-2,5-dione",COC1=CC=C(C=C1)NC2CC(=O)N(C2=O)C3=C(C=C(C=C3)Cl)Cl,,,,,,
16,2975017,"[5-[[4-(Dimethylamino)phenyl]methylamino]-3-phenyl-1,2,4-triazol-1-yl]-(3-nitrophenyl)methanone",CN(C)C1=CC=C(C=C1)CNC2=NC(=NN2C(=O)C3=CC(=CC=C3)[N+](=O)[O-])C4=CC=CC=C4,,,,,,
17,2975018,2-{[6-chloro-4-(4-methoxyphenyl)-2-oxo-2H-chromen-7-yl]oxy}acetamide,COC1=CC=C(C=C1)C2=CC(=O)OC3=CC(=C(C=C23)Cl)OCC(=O)N,,,,,,
18,2975019,"[5-(3-Methoxyphenyl)-7-(trifluoromethyl)pyrazolo[1,5-a]pyrimidin-2-yl](1,3,3-trimethyl-6-azabicyclo[3.2.1]oct-6-yl)methanone",CC1(CC2CC(C1)(CN2C(=O)C3=NN4C(=CC(=NC4=C3)C5=CC(=CC=C5)OC)C(F)(F)F)C)C,,,,,,
19,2975020,"2-{[4-anilino-6-(4-morpholinyl)-1,3,5-triazin-2-yl]thio}-N-(4-nitrophenyl)acetamide",C1COCCN1C2=NC(=NC(=N2)NC3=CC=CC=C3)SCC(=O)NC4=CC=C(C=C4)[N+](=O)[O-],,,,,,
20,2975021,"methyl 1-(2-furylmethyl)-2-methyl-5-oxo-4-(pentanoylamino)-4-(trifluoromethyl)-4,5-dihydro-1H-pyrrole-3-carboxylate",CCCCC(=O)NC1(C(=C(N(C1=O)CC2=CC=CO2)C)C(=O)OC)C(F)(F)F,,,,,,
21,2975022,1-(3-Phenylmethanesulfonyl-propionyl)-piperidine-4-carboxylic acid ethyl ester,CCOC(=O)C1CCN(CC1)C(=O)CCS(=O)(=O)CC2=CC=CC=C2,,,,,,
22,2975023,"1-(1H-indol-3-yl)-2-[(5-methyl-4-phenyl-4H-1,2,4-triazol-3-yl)sulfanyl]ethanone",CC1=NN=C(N1C2=CC=CC=C2)SCC(=O)C3=CNC4=CC=CC=C43,,,,,,
23,2975024,"N-(4-ethoxyphenyl)-5-nitro-2-phenyl-2H-1,2,3-triazol-4-amine 3-oxide",CCOC1=CC=C(C=C1)N=C2C(=NN(N2O)C3=CC=CC=C3)[N+](=O)[O-],,,,,,
24,2975025,N-(3-acetylphenyl)-1-(phenylsulfonyl)-3-piperidinecarboxamide,CC(=O)C1=CC(=CC=C1)NC(=O)C2CCCN(C2)S(=O)(=O)C3=CC=CC=C3,,,,,,
25,2975026,"2-[(1-phenyl-1H-tetrazol-5-yl)sulfanyl]-N-{4-[(3s,5s,7s)-tricyclo[3.3.1.1~3,7~]dec-1-yl]phenyl}acetamide",C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)NC(=O)CSC5=NN=NN5C6=CC=CC=C6,,,,,,
26,2975027,"[[Amino-(3-bromophenyl)methylidene]amino] 3,4-dimethylbenzoate",CC1=C(C=C(C=C1)C(=O)ON=C(C2=CC(=CC=C2)Br)N)C,,,,,,
27,2975028,Methyl 3-nitro-5-{[3-(propan-2-yloxy)propyl]carbamoyl}benzoate,CC(C)OCCCNC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OC,,,,,,
28,2975029,Ethyl 1-[3-(benzylsulfonyl)propanoyl]-3-piperidinecarboxylate,CCOC(=O)C1CCCN(C1)C(=O)CCS(=O)(=O)CC2=CC=CC=C2,,,,,,
29,2975030,(2-Chloro-4-cyano-6-methoxyphenyl) 2-methylbenzoate,CC1=CC=CC=C1C(=O)OC2=C(C=C(C=C2Cl)C#N)OC,,,,,,
30,2975031,"N-[5-(2-ethoxyethyl)-1,3,4-thiadiazol-2-yl]-2-(4-methoxyphenyl)acetamide",CCOCCC1=NN=C(S1)NC(=O)CC2=CC=C(C=C2)OC,,,,,,
31,2975032,N-[(3-ethoxy-4-prop-2-enoxyphenyl)methyl]-1-(4-fluorophenyl)methanamine;hydrochloride,CCOC1=C(C=CC(=C1)CNCC2=CC=C(C=C2)F)OCC=C.Cl,,,,,,
32,2975033,"Methyl 2-({[3-(hydroxymethyl)-1-piperidinyl]carbonothioyl}amino)-4,5-dimethoxybenzoate",COC1=C(C=C(C(=C1)C(=O)OC)NC(=S)N2CCCC(C2)CO)OC,,,,,,
33,2975034,2-[[3-[(4-Methoxyphenyl)carbamoyl]-4-morpholin-4-ylphenyl]carbamoyl]cyclohexane-1-carboxylic acid,COC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)NC(=O)C3CCCCC3C(=O)O)N4CCOCC4,,,,,,
34,2975035,3-ethoxy-N-{4-[(tetrahydrofuran-2-ylmethyl)sulfamoyl]phenyl}propanamide,CCOCCC(=O)NC1=CC=C(C=C1)S(=O)(=O)NCC2CCCO2,,,,,,
35,2975036,5-(Cyclohexylamino)-5-oxo-2-propan-2-ylpentanoic acid,CC(C)C(CCC(=O)NC1CCCCC1)C(=O)O,,,,,,
36,2975037,N-(2-bromo-4-methylphenyl)-3-nitrobenzenesulfonamide,CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)[N+](=O)[O-])Br,,,,,,
37,2975038,N-[4-(ethylsulfamoyl)phenyl]-2-phenylbutanamide,CCC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NCC,,,,,,
38,2975039,N~2~-[(4-chlorophenyl)sulfonyl]-N~2~-(2-methylphenyl)-N-[4-(morpholin-4-ylsulfonyl)phenyl]glycinamide,CC1=CC=CC=C1N(CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)S(=O)(=O)C4=CC=C(C=C4)Cl,,,,,,
39,2975040,"2-[3-[2-[4-(Dimethylamino)phenyl]ethenyl]-1,2,4-oxadiazol-5-yl]phenol",CN(C)C1=CC=C(C=C1)C=CC2=NOC(=N2)C3=CC=CC=C3O,,,,,,
