,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,2300001,2-(2-Bromo-4-chlorophenoxy)ethyl-(3-methoxypropyl)azanium,COCCC[NH2+]CCOC1=C(C=C(C=C1)Cl)Br,,,,,,
1,2300002,N-[2-(2-bromo-4-chlorophenoxy)ethyl]-3-methoxypropan-1-amine,COCCCNCCOC1=C(C=C(C=C1)Cl)Br,,,,,,
2,2300003,Prop-2-enyl-[2-[2-(2-prop-2-enylphenoxy)ethoxy]ethyl]azanium,C=CCC1=CC=CC=C1OCCOCC[NH2+]CC=C,,,,,,
3,2300004,N-[2-[2-(2-prop-2-enylphenoxy)ethoxy]ethyl]prop-2-en-1-amine,C=CCC1=CC=CC=C1OCCOCCNCC=C,,,,,,
4,2300005,Butyl-[2-[2-(2-ethoxyphenoxy)ethoxy]ethyl]-methylazanium,CCCC[NH+](C)CCOCCOC1=CC=CC=C1OCC,,,,,,
5,2300006,N-[2-[2-(2-ethoxyphenoxy)ethoxy]ethyl]-N-methylbutan-1-amine,CCCCN(C)CCOCCOC1=CC=CC=C1OCC,,,,,,
6,2300007,Cambridge id 7015941,CC1=CC(=C(C=C1)OCCCN2C=NC3=CC=CC=C3C2=O)Br,,,,,,
7,2300008,2-benzylsulfanyl-N-(9H-fluoren-2-yl)benzamide,C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C4=CC=CC=C4SCC5=CC=CC=C5,,,,,,
8,2300009,2-[2-(2-Tert-butyl-5-methylphenoxy)ethoxy]ethyl-(3-methoxypropyl)azanium,CC1=CC(=C(C=C1)C(C)(C)C)OCCOCC[NH2+]CCCOC,,,,,,
9,2300010,N-[2-[2-(2-tert-butyl-5-methylphenoxy)ethoxy]ethyl]-3-methoxypropan-1-amine,CC1=CC(=C(C=C1)C(C)(C)C)OCCOCCNCCCOC,,,,,,
10,2300011,2-Azaniumylethyl-[3-(4-tert-butyl-2-methylphenoxy)propyl]azanium,CC1=C(C=CC(=C1)C(C)(C)C)OCCC[NH2+]CC[NH3+],,,,,,
11,2300012,"N'-[3-(4-tert-butyl-2-methylphenoxy)propyl]ethane-1,2-diamine",CC1=C(C=CC(=C1)C(C)(C)C)OCCCNCCN,,,,,,
12,2300013,CID 2300013,CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)OCCC[NH2+]CC[NH3+],,,,,,
13,2300014,"N'-[3-[4-(2-phenylpropan-2-yl)phenoxy]propyl]ethane-1,2-diamine",CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)OCCCNCCN,,,,,,
14,2300015,"[2-[[3-[(4-bromophenyl)carbamoyl]-5,6-dihydro-4H-cyclopenta[b]thiophen-2-yl]amino]-2-oxoethyl]-(2-hydroxyethyl)azanium",C1CC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)Br)NC(=O)C[NH2+]CCO,,,,,,
15,2300016,Cambridge id 7016027,C1CC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)Br)NC(=O)CNCCO,,,,,,
16,2300017,4-[2-[2-(4-Methyl-2-prop-2-enylphenoxy)ethoxy]ethyl]morpholin-4-ium,CC1=CC(=C(C=C1)OCCOCC[NH+]2CCOCC2)CC=C,,,,,,
17,2300018,Cambridge id 7016029,CC1=CC(=C(C=C1)OCCOCCN2CCOCC2)CC=C,,,,,,
18,2300019,CID 2300019,CC1=CC(=C(C=C1)OCCCC[N+]2=CNC=C2)[N+](=O)[O-],,,,,,
19,2300020,"(4E)-4-[(4-cyclopentyloxyphenyl)methylidene]-2-methylsulfanyl-1,3-thiazol-5-one",CSC1=N/C(=C/C2=CC=C(C=C2)OC3CCCC3)/C(=O)S1,,,,,,
20,2300021,"(4Z)-4-[4-(cyclopentyloxy)benzylidene]-2-(methylsulfanyl)-1,3-thiazol-5(4H)-one",CSC1=N/C(=C\C2=CC=C(C=C2)OC3CCCC3)/C(=O)S1,,,,,,
21,2300022,4-(4-Chloro-2-prop-2-enylphenoxy)butyl-(3-methoxypropyl)azanium,COCCC[NH2+]CCCCOC1=C(C=C(C=C1)Cl)CC=C,,,,,,
22,2300023,4-(4-chloro-2-prop-2-enylphenoxy)-N-(3-methoxypropyl)butan-1-amine,COCCCNCCCCOC1=C(C=C(C=C1)Cl)CC=C,,,,,,
23,2300024,1-[4-(2-Bromo-6-chloro-4-methylphenoxy)butyl]pyrrolidin-1-ium,CC1=CC(=C(C(=C1)Br)OCCCC[NH+]2CCCC2)Cl,,,,,,
24,2300025,1-[4-(2-Bromo-6-chloro-4-methylphenoxy)butyl]pyrrolidine,CC1=CC(=C(C(=C1)Br)OCCCCN2CCCC2)Cl,,,,,,
25,2300026,"1-[3-(3,4-Dichlorophenoxy)propyl]-4-methylpiperazine-1,4-diium",C[NH+]1CC[NH+](CC1)CCCOC2=CC(=C(C=C2)Cl)Cl,,,,,,
26,2300027,Cambridge id 7016094,CN1CCN(CC1)CCCOC2=CC(=C(C=C2)Cl)Cl,,,,,,
27,2300028,2-(4-Bromo-2-methylphenoxy)ethyl-prop-2-enylazanium,CC1=C(C=CC(=C1)Br)OCC[NH2+]CC=C,,,,,,
28,2300029,Cambridge id 7016098,CC1=C(C=CC(=C1)Br)OCCNCC=C,,,,,,
29,2300030,2-azaniumylethyl-[4-[2-[(2R)-butan-2-yl]phenoxy]butyl]azanium,CC[C@@H](C)C1=CC=CC=C1OCCCC[NH2+]CC[NH3+],,,,,,
30,2300031,"N'-[4-[2-[(2R)-butan-2-yl]phenoxy]butyl]ethane-1,2-diamine",CC[C@@H](C)C1=CC=CC=C1OCCCCNCCN,,,,,,
31,2300032,2-azaniumylethyl-[4-[2-[(2S)-butan-2-yl]phenoxy]butyl]azanium,CC[C@H](C)C1=CC=CC=C1OCCCC[NH2+]CC[NH3+],,,,,,
32,2300033,"N'-[4-[2-[(2S)-butan-2-yl]phenoxy]butyl]ethane-1,2-diamine",CC[C@H](C)C1=CC=CC=C1OCCCCNCCN,,,,,,
33,2300034,4-[2-[2-(4-Methoxy-2-prop-2-enylphenoxy)ethoxy]ethyl]morpholin-4-ium,COC1=CC(=C(C=C1)OCCOCC[NH+]2CCOCC2)CC=C,,,,,,
34,2300035,Cambridge id 7016103,COC1=CC(=C(C=C1)OCCOCCN2CCOCC2)CC=C,,,,,,
35,2300036,"(5E)-3-(4-fluorophenyl)-5-[[1-[(4-nitrophenyl)methyl]indol-3-yl]methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)[N+](=O)[O-])/C=C/4\C(=O)N(C(=S)S4)C5=CC=C(C=C5)F,,,,,,
36,2300037,"(5Z)-3-(4-fluorophenyl)-5-[[1-[(4-nitrophenyl)methyl]indol-3-yl]methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)[N+](=O)[O-])/C=C\4/C(=O)N(C(=S)S4)C5=CC=C(C=C5)F,,,,,,
37,2300038,Cambridge id 7016140,CC1=C(C=CC(=C1)OCCCN2C=NC3=CC=CC=C3C2=O)C(C)C,,,,,,
38,2300039,"(5Z)-3-benzyl-5-[[2-[(2-nitrophenyl)methoxy]phenyl]methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C1=CC=C(C=C1)CN2C(=O)/C(=C/C3=CC=CC=C3OCC4=CC=CC=C4[N+](=O)[O-])/SC2=S,,,,,,
39,2300040,CID 2300040,C1=CC=C(C=C1)CN2C(=O)/C(=C\C3=CC=CC=C3OCC4=CC=CC=C4[N+](=O)[O-])/SC2=S,,,,,,
40,2300041,2-Azaniumylethyl-[2-(4-phenylmethoxyphenoxy)ethyl]azanium,C1=CC=C(C=C1)COC2=CC=C(C=C2)OCC[NH2+]CC[NH3+],,,,,,
41,2300042,Cambridge id 7016181,C1=CC=C(C=C1)COC2=CC=C(C=C2)OCCNCCN,,,,,,
42,2300043,3-(4-Chlorophenoxy)propyl-(furan-2-ylmethyl)azanium,C1=COC(=C1)C[NH2+]CCCOC2=CC=C(C=C2)Cl,,,,,,
43,2300044,Cambridge id 7016184,C1=COC(=C1)CNCCCOC2=CC=C(C=C2)Cl,,,,,,
44,2300045,"(4E)-4-[[5-(4-chlorophenyl)furan-2-yl]methylidene]-2-prop-2-enylsulfanyl-1,3-thiazol-5-one",C=CCSC1=N/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)Cl)/C(=O)S1,,,,,,
45,2300046,"(4Z)-4-{[5-(4-chlorophenyl)furan-2-yl]methylidene}-2-(prop-2-en-1-ylsulfanyl)-1,3-thiazol-5(4H)-one",C=CCSC1=N/C(=C\C2=CC=C(O2)C3=CC=C(C=C3)Cl)/C(=O)S1,,,,,,
46,2300047,2-Hydroxyethyl-[3-(2-methoxy-6-prop-2-enylphenoxy)propyl]azanium,COC1=CC=CC(=C1OCCC[NH2+]CCO)CC=C,,,,,,
47,2300048,2-[[3-[2-Methoxy-6-(2-propen-1-yl)phenoxy]propyl]amino]ethanol,COC1=CC=CC(=C1OCCCNCCO)CC=C,,,,,,
48,2300049,(3R)-1-[3-(2-ethoxyphenoxy)propyl]-3-methylpiperidin-1-ium,CCOC1=CC=CC=C1OCCC[NH+]2CCC[C@H](C2)C,,,,,,
49,2300050,(3R)-1-[3-(2-ethoxyphenoxy)propyl]-3-methylpiperidine,CCOC1=CC=CC=C1OCCCN2CCC[C@H](C2)C,,,,,,
50,2300051,(3S)-1-[3-(2-ethoxyphenoxy)propyl]-3-methylpiperidin-1-ium,CCOC1=CC=CC=C1OCCC[NH+]2CCC[C@@H](C2)C,,,,,,
51,2300052,(3S)-1-[3-(2-ethoxyphenoxy)propyl]-3-methylpiperidine,CCOC1=CC=CC=C1OCCCN2CCC[C@@H](C2)C,,,,,,
52,2300053,"3-(2-chlorophenyl)-5-{[2-nitro-4-(trifluoromethyl)phenyl]sulfanyl}-4-(prop-2-en-1-yl)-4H-1,2,4-triazole",C=CCN1C(=NN=C1SC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])C3=CC=CC=C3Cl,,,,,,
53,2300054,1-[3-(2-Tert-butyl-4-chlorophenoxy)propyl]pyrrolidin-1-ium,CC(C)(C)C1=C(C=CC(=C1)Cl)OCCC[NH+]2CCCC2,,,,,,
54,2300055,1-[3-(2-Tert-butyl-4-chlorophenoxy)propyl]pyrrolidine,CC(C)(C)C1=C(C=CC(=C1)Cl)OCCCN2CCCC2,,,,,,
55,2300056,"(6E)-5-imino-6-[[4-[3-(2-methylphenoxy)propoxy]phenyl]methylidene]-2-(trifluoromethyl)-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-one",CC1=CC=CC=C1OCCCOC2=CC=C(C=C2)/C=C/3\C(=N)N4C(=NC3=O)SC(=N4)C(F)(F)F,,,,,,
