,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,2825001,5-amino-N-(2-ethoxyethyl)naphthalene-1-sulfonamide,CCOCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2N,,,,,,
1,2825002,5-amino-N-cyclohexylnaphthalene-1-sulfonamide,C1CCC(CC1)NS(=O)(=O)C2=CC=CC3=C2C=CC=C3N,,,,,,
2,2825003,"1-Naphthalenesulfonamide, 5-amino-N,N-dimethyl-",CN(C)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N,,,,,,
3,2825004,"5-Amino-N,N-dipropyl-1-naphthalenesulfonamide",CCCN(CCC)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N,,,,,,
4,2825005,5-Morpholin-4-ylsulfonylnaphthalen-1-amine,C1COCCN1S(=O)(=O)C2=CC=CC3=C2C=CC=C3N,,,,,,
5,2825006,5-Piperidin-1-ylsulfonylnaphthalen-1-amine,C1CCN(CC1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3N,,,,,,
6,2825007,5-(Azepan-1-ylsulfonyl)naphthalen-1-amine,C1CCCN(CC1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3N,,,,,,
7,2825008,5-amino-N-ethyl-N-methylnaphthalene-1-sulfonamide,CCN(C)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N,,,,,,
8,2825009,5-amino-N-methyl-N-propylnaphthalene-1-sulfonamide,CCCN(C)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N,,,,,,
9,2825010,5-amino-N-cyclohexyl-N-ethylnaphthalene-1-sulfonamide,CCN(C1CCCCC1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3N,,,,,,
10,2825011,5-amino-N-butyl-N-methylnaphthalene-1-sulfonamide,CCCCN(C)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N,,,,,,
11,2825012,"5-Methoxy-7-nitro-2,3-dihydro-1,4-benzodioxine",COC1=CC(=CC2=C1OCCO2)[N+](=O)[O-],,,,,,
12,2825013,"1-[(7-Nitro-2,3-dihydro-1,4-benzodioxin-5-yl)oxy]-3-(propan-2-ylamino)propan-2-ol",CC(C)NCC(COC1=CC(=CC2=C1OCCO2)[N+](=O)[O-])O,,,,,,
13,2825014,"6,8-Dibromo-5-methoxy-2,3-dihydro-1,4-benzodioxine",COC1=C(C=C(C2=C1OCCO2)Br)Br,,,,,,
14,2825015,"5-Bromo-8-methoxy-2,3-dihydrobenzo[B][1,4]dioxine",COC1=C2C(=C(C=C1)Br)OCCO2,,,,,,
15,2825016,"2,3-Dihydro-1,4-benzodioxin-5-yl acetate",CC(=O)OC1=CC=CC2=C1OCCO2,,,,,,
16,2825017,"1-(2,3-Dihydrobenzo[b][1,4]dioxin-6-yl)-3-(dimethylamino) propan-1-one hydrochloride",CN(C)CCC(=O)C1=CC2=C(C=C1)OCCO2.Cl,,,,,,
17,2825018,"1-(2,3-Dihydro-1,4-benzodioxin-6-yl)-3-(dimethylamino)propan-1-one",CN(C)CCC(=O)C1=CC2=C(C=C1)OCCO2,,,,,,
18,2825019,"4-Methoxy-6-nitro-1,3-benzodioxole",COC1=CC(=CC2=C1OCO2)[N+](=O)[O-],,,,,,
19,2825020,"2,8-Bis(trifluoromethyl)quinoline",C1=CC2=C(C(=C1)C(F)(F)F)N=C(C=C2)C(F)(F)F,,,,,,
