,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,2450001,CID 2450001,CCN(C1=CC=C(C=C1)[N-]S(=O)(=O)C2=CC=CC=C2[N+](=O)[O-])C(C)C,,,,,,
1,2450002,N-[4-[ethyl(propan-2-yl)amino]phenyl]-2-nitrobenzenesulfonamide,CCN(C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC=C2[N+](=O)[O-])C(C)C,,,,,,
2,2450003,"3-Phenylpropyl 2-(3,4-dimethylbenzoyl)benzoate",CC1=C(C=C(C=C1)C(=O)C2=CC=CC=C2C(=O)OCCCC3=CC=CC=C3)C,,,,,,
3,2450004,(4-Oxo-4-phenylbutyl) 2-methoxy-5-sulfamoylbenzoate,COC1=C(C=C(C=C1)S(=O)(=O)N)C(=O)OCCCC(=O)C2=CC=CC=C2,,,,,,
4,2450005,[2-[(2-Chlorophenyl)methylamino]-2-oxoethyl] 1-(4-chlorophenyl)cyclobutane-1-carboxylate,C1CC(C1)(C2=CC=C(C=C2)Cl)C(=O)OCC(=O)NCC3=CC=CC=C3Cl,,,,,,
5,2450006,"(2E)-2-[3-methoxy-4-(3-methylbutoxy)benzylidene]-3,4-dihydronaphthalen-1(2H)-one",CC(C)CCOC1=C(C=C(C=C1)/C=C/2\CCC3=CC=CC=C3C2=O)OC,,,,,,
6,2450007,"(2-Oxo-2-pyrrolidin-1-ylethyl) 2-(3,4-dimethylbenzoyl)benzoate",CC1=C(C=C(C=C1)C(=O)C2=CC=CC=C2C(=O)OCC(=O)N3CCCC3)C,,,,,,
7,2450008,"(2Z)-2-[[3-methoxy-4-(3-methylbutoxy)phenyl]methylidene]-3,4-dihydronaphthalen-1-one",CC(C)CCOC1=C(C=C(C=C1)/C=C\2/CCC3=CC=CC=C3C2=O)OC,,,,,,
8,2450009,"ethyl 4-[(4E)-4-[(4-ethylphenyl)methylidene]-1,3-dioxoisoquinolin-2-yl]benzoate",CCC1=CC=C(C=C1)/C=C/2\C3=CC=CC=C3C(=O)N(C2=O)C4=CC=C(C=C4)C(=O)OCC,,,,,,
9,2450010,"[5-(2-Bromophenyl)-1,3,4-oxadiazol-2-yl]methyl 3-(1,3-benzothiazol-2-yl)propanoate",C1=CC=C(C(=C1)C2=NN=C(O2)COC(=O)CCC3=NC4=CC=CC=C4S3)Br,,,,,,
10,2450011,N-(2-methyl-6-propan-2-ylphenyl)-2-phenylmethoxybenzamide,CC1=C(C(=CC=C1)C(C)C)NC(=O)C2=CC=CC=C2OCC3=CC=CC=C3,,,,,,
11,2450012,"ethyl 4-[(4Z)-4-[(4-ethylphenyl)methylidene]-1,3-dioxoisoquinolin-2-yl]benzoate",CCC1=CC=C(C=C1)/C=C\2/C3=CC=CC=C3C(=O)N(C2=O)C4=CC=C(C=C4)C(=O)OCC,,,,,,
12,2450013,"3-phenyl-1-[2-[(1S)-1-phenylethyl]imino-1,3-thiazolidin-3-yl]propan-1-one",C[C@@H](C1=CC=CC=C1)N=C2N(CCS2)C(=O)CCC3=CC=CC=C3,,,,,,
13,2450014,"(3E)-3-[[5-(2,3-dichlorophenyl)furan-2-yl]methylidene]chromen-4-one",C1/C(=C\C2=CC=C(O2)C3=C(C(=CC=C3)Cl)Cl)/C(=O)C4=CC=CC=C4O1,,,,,,
14,2450015,"3-phenyl-1-[2-[(1R)-1-phenylethyl]imino-1,3-thiazolidin-3-yl]propan-1-one",C[C@H](C1=CC=CC=C1)N=C2N(CCS2)C(=O)CCC3=CC=CC=C3,,,,,,
15,2450016,CID 2450016,C1/C(=C/C2=CC=C(O2)C3=C(C(=CC=C3)Cl)Cl)/C(=O)C4=CC=CC=C4O1,,,,,,
16,2450017,"(4Z)-4-(2,3-dihydro-1,4-benzodioxin-6-ylmethylidene)-2-[(4-methoxyphenyl)methyl]isoquinoline-1,3-dione",COC1=CC=C(C=C1)CN2C(=O)C3=CC=CC=C3/C(=C/C4=CC5=C(C=C4)OCCO5)/C2=O,,,,,,
17,2450018,N-[2-[(4-chlorophenyl)methylamino]-2-oxoethyl]-N-ethyl-3-phenylpropanamide,CCN(CC(=O)NCC1=CC=C(C=C1)Cl)C(=O)CCC2=CC=CC=C2,,,,,,
18,2450019,"(4E)-4-(2,3-dihydro-1,4-benzodioxin-6-ylmethylidene)-2-[(4-methoxyphenyl)methyl]isoquinoline-1,3-dione",COC1=CC=C(C=C1)CN2C(=O)C3=CC=CC=C3/C(=C\C4=CC5=C(C=C4)OCCO5)/C2=O,,,,,,
19,2450020,N-ethyl-N-[2-(2-methoxyanilino)-2-oxoethyl]cyclopentanecarboxamide,CCN(CC(=O)NC1=CC=CC=C1OC)C(=O)C2CCCC2,,,,,,
20,2450021,(3E)-3-[(2-propan-2-yloxyphenyl)methylidene]chromen-4-one,CC(C)OC1=CC=CC=C1/C=C/2\COC3=CC=CC=C3C2=O,,,,,,
