,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,530001,CID 530001,CC12CCC3C(C1CCC2(C)O[Si](C)(C)C)CCC4=C3C=CC(=C4)O[Si](C)(C)C,,,,,,
1,530002,"Heptane, 3,4-diethyl",CCCC(CC)C(CC)CC,,,,,,
2,530003,"Silane, [[(3beta,5alpha,17beta)-17-methylandrostane-3,17-diyl]bis(oxy)]bis[trimethyl-",CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O[Si](C)(C)C)C)O[Si](C)(C)C,,,,,,
3,530004,CID 530004,CC12CCC3C(C1CCC2(C)O[Si](C)(C)C)CCC4C3(CC=C(C4)O[Si](C)(C)C)C,,,,,,
4,530005,"Norethandrolone metabolite, di-trimethylsilyl",CCC1(CCC2C1(CCC3C2CCC4C3CCC(C4)O[Si](C)(C)C)C)O[Si](C)(C)C,,,,,,
5,530006,CID 530006,CC12CCC3C4CCC(CC4CCC3C1CCC2(C)O[Si](C)(C)C)O[Si](C)(C)C,,,,,,
6,530007,"Trimethyl-[(13-methyl-3-trimethylsilyloxy-1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17-hexadecahydrocyclopenta[a]phenanthren-17-yl)oxy]silane",CC12CCC3C4CCC(CC4CCC3C1CCC2O[Si](C)(C)C)O[Si](C)(C)C,,,,,,
7,530008,CID 530008,CCC1(CCC2C1(CCC3C2CCC4C3CCC(=C4)O[Si](C)(C)C)C)O[Si](C)(C)C,,,,,,
8,530009,CID 530009,CC12CCC3C(C1CCC2(C)O[Si](C)(C)C)CCC4C3CCC(=C4)O[Si](C)(C)C,,,,,,
9,530010,CID 530010,CC12CCC3C(C1CCC2O[Si](C)(C)C)CCC4C3CCC(=C4)O[Si](C)(C)C,,,,,,
10,530011,"Hexadecane, 7-butyl-8-ethyl",CCCCCCCCC(CC)C(CCCC)CCCCCC,,,,,,
11,530012,"Hexadecane, 7-methyl-6-pentyl",CCCCCCCCCC(C)C(CCCCC)CCCCC,,,,,,
12,530013,CID 530013,CCC1(CCC2C1(CCC3C2CCC4=C(CCCC34)O[Si](C)(C)C)C)O[Si](C)(C)C,,,,,,
13,530014,CID 530014,CC12CCC3C(C1CCC2(C)O[Si](C)(C)C)CCC4=C(CCCC34)O[Si](C)(C)C,,,,,,
14,530015,CID 530015,CC12CCC3C(C1CCC2O[Si](C)(C)C)CCC4=C(CCCC34)O[Si](C)(C)C,,,,,,
15,530016,"3,4-Dimethoxybenzaldehyde o-methyloxime",COC1=C(C=C(C=C1)C=NOC)OC,,,,,,
16,530017,"Benzaldehyde, 3,4-methylenedioxy, methoxime",CON=CC1=CC2=C(C=C1)OCO2,,,,,,
17,530018,"Ethylvanilline, MO TMS",CCOC1=C(C=CC(=C1)C=NOC)O[Si](C)(C)C,,,,,,
18,530019,"3-Ethoxy-4-hydroxybenzaldehyde, trimethylsilyl-",CCOC1=C(C=CC(=C1)C=O)O[Si](C)(C)C,,,,,,
19,530020,"1-Methyl-2-propynyl 2,6-difluorobenzoate",COC1=C(C=C(C=C1)CO[Si](C)(C)C)O[Si](C)(C)C,,,,,,
