,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,605001,CID 605001,CC(C)(C)C1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-]1.[Co],,,,,,
1,605002,CID 605002,CC(C)(C)C1[CH-][CH-][CH-][CH-]1,,,,,,
2,605003,CID 605003,C1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][C-]([CH-]1)C(=O)O.[Co],,,,,,
3,605004,CID 605004,C[Si](C)(C)C1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-]1.[Co],,,,,,
4,605005,CID 605005,C[Si](C)(C)C1[CH-][CH-][CH-][CH-]1,,,,,,
5,605006,CID 605006,C1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-]1.[Co],,,,,,
6,605007,CID 605007,[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-]C([CH-]1)CC2=CC=CC=C2.[Co],,,,,,
7,605008,CID 605008,[CH-]1[CH-][CH-]C([CH-]1)CC2=CC=CC=C2,,,,,,
8,605009,CID 605009,[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-][CH-][CH-][CH-]1.[Co].[Co],,,,,,
9,605010,CID 605010,C[CH-][CH-]C1=C(C(=C(C(=C1[CH-][CH-]C)[CH-][CH-]C)[CH-][CH-]C)[CH-][CH-]C)[CH-][CH-]C.[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1[CH-][CH-][CH-][CH-]1.[Co].[Co].[Co],,,,,,
10,605011,CID 605011,C[CH-]C[C-]1[C-]([C-](C(=C[CH-]C)C(=C[CH-]C)[C-]1[CH-][CH-]C)C[CH-]C)[CH-][CH-]C,,,,,,
11,605012,"4(1H)-Quinolinone, 3-methoxy-1-methyl-",CN1C=C(C(=O)C2=CC=CC=C21)OC,,,,,,
12,605013,"2,5-Dimethyl-4-phenyl-5,6-dihydro-4H-[1,3]oxazine",CC1COC(=NC1C2=CC=CC=C2)C,,,,,,
13,605014,4-Cyano-4-hydroxy-3-methyl-2-phenylpiperidine,CC1C(NCCC1(C#N)O)C2=CC=CC=C2,,,,,,
14,605015,4-(Oxiranylmethoxy)-1H-indole,C1C(O1)COC2=CC=CC3=C2C=CN3,,,,,,
15,605016,1-(2-Nitrophenyl)pyrazole,C1=CC=C(C(=C1)N2C=CC=N2)[N+](=O)[O-],,,,,,
16,605017,"Acetic acid, [(2,4,6-triethylbenzoyl)thio]-",CCC1=CC(=C(C(=C1)CC)C(=O)SCC(=O)O)CC,,,,,,
17,605018,Cedrene-V6,CC1=C2CCC(C2CCC1(C)C)(C)C=C,,,,,,
18,605019,"2-Isopropenyl-4a,8-dimethyl-1,2,3,4,4a,5,6,7-octahydronaphthalene",CC1=C2CC(CCC2(CCC1)C)C(=C)C,,,,,,
