,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,3465001,"2-chloro-6-ethoxy-3-(3-(furan-2-yl)-1-(methylsulfonyl)-4,5-dihydro-1H-pyrazol-5-yl)quinoline",CCOC1=CC2=CC(=C(N=C2C=C1)Cl)C3CC(=NN3S(=O)(=O)C)C4=CC=CO4,,,,,,
1,3465002,"Methyl 2-{[(4-methylpiperazin-1-yl)carbonothioyl]amino}-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",CN1CCN(CC1)C(=S)NC2=C(C3=C(S2)CCCC3)C(=O)OC,,,,,,
2,3465003,"Methyl 2-{[(4-benzylpiperazin-1-yl)carbonothioyl]amino}-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",COC(=O)C1=C(SC2=C1CCCC2)NC(=S)N3CCN(CC3)CC4=CC=CC=C4,,,,,,
3,3465004,"Methyl 2-{[(thiophen-2-ylmethyl)carbamothioyl]amino}-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",COC(=O)C1=C(SC2=C1CCCC2)NC(=S)NCC3=CC=CS3,,,,,,
4,3465005,2-[2-(3-methoxyphenoxy)propanoyl]-N-(tetrahydrofuran-2-ylmethyl)hydrazinecarbothioamide,CC(C(=O)NNC(=S)NCC1CCCO1)OC2=CC=CC(=C2)OC,,,,,,
5,3465006,"ethyl {[4-ethyl-5-(2-phenylquinolin-4-yl)-4H-1,2,4-triazol-3-yl]sulfanyl}acetate",CCN1C(=NN=C1SCC(=O)OCC)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,,,,,,
6,3465007,3-({2-[(5-Bromofuran-2-yl)carbonyl]hydrazinyl}carbonyl)bicyclo[2.2.2]oct-5-ene-2-carboxylic acid,C1CC2C=CC1C(C2C(=O)O)C(=O)NNC(=O)C3=CC=C(O3)Br,,,,,,
7,3465008,N-[(3-bromo-4-ethoxy-5-methoxyphenyl)methylideneamino]-4-fluorobenzenesulfonamide,CCOC1=C(C=C(C=C1Br)C=NNS(=O)(=O)C2=CC=C(C=C2)F)OC,,,,,,
8,3465009,Methyl 5-methyl-2-{[(2-methylpiperidin-1-yl)carbonothioyl]amino}thiophene-3-carboxylate,CC1CCCCN1C(=S)NC2=C(C=C(S2)C)C(=O)OC,,,,,,
9,3465010,"Ethyl 5-benzyl-2-[({2-[(4,5-dimethylthiophen-3-yl)carbonyl]hydrazinyl}carbonothioyl)amino]thiophene-3-carboxylate",CCOC(=O)C1=C(SC(=C1)CC2=CC=CC=C2)NC(=S)NNC(=O)C3=CSC(=C3C)C,,,,,,
10,3465011,Ethyl 5-benzyl-2-({[2-(pyridin-4-ylcarbonyl)hydrazinyl]carbonothioyl}amino)thiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1)CC2=CC=CC=C2)NC(=S)NNC(=O)C3=CC=NC=C3,,,,,,
11,3465012,Ethyl 5-benzyl-2-({[2-(pyridin-2-ylcarbonyl)hydrazinyl]carbonothioyl}amino)thiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1)CC2=CC=CC=C2)NC(=S)NNC(=O)C3=CC=CC=N3,,,,,,
12,3465013,Ethyl 5-benzyl-2-({[2-(furan-2-ylcarbonyl)hydrazinyl]carbonothioyl}amino)thiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1)CC2=CC=CC=C2)NC(=S)NNC(=O)C3=CC=CO3,,,,,,
13,3465014,Ethyl 2-({[2-(1-benzothiophen-3-ylcarbonyl)hydrazino]carbothioyl}amino)-5-benzylthiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1)CC2=CC=CC=C2)NC(=S)NNC(=O)C3=CSC4=CC=CC=C43,,,,,,
14,3465015,ethyl 5-benzyl-2-({[2-(1H-indol-3-ylcarbonyl)hydrazinyl]carbonothioyl}amino)thiophene-3-carboxylate,CCOC(=O)C1=C(SC(=C1)CC2=CC=CC=C2)NC(=S)NNC(=O)C3=CNC4=CC=CC=C43,,,,,,
15,3465016,"N-(3-bromophenyl)-5-(2,5-dichlorophenyl)furan-2-carboxamide",C1=CC(=CC(=C1)Br)NC(=O)C2=CC=C(O2)C3=C(C=CC(=C3)Cl)Cl,,,,,,
16,3465017,N-(3-bromophenyl)-5-(3-chloro-4-methylphenyl)furan-2-carboxamide,CC1=C(C=C(C=C1)C2=CC=C(O2)C(=O)NC3=CC(=CC=C3)Br)Cl,,,,,,
17,3465018,"N-(3-bromophenyl)-2-(2,4-dibromo-6-methylphenoxy)acetamide",CC1=CC(=CC(=C1OCC(=O)NC2=CC(=CC=C2)Br)Br)Br,,,,,,
18,3465019,"2,4-difluoro-N-(2-hydroxypropyl)benzenesulfonamide",CC(CNS(=O)(=O)C1=C(C=C(C=C1)F)F)O,,,,,,
19,3465020,"2,4-dichloro-N-(2-hydroxypropyl)-5-methylbenzenesulfonamide",CC1=CC(=C(C=C1Cl)Cl)S(=O)(=O)NCC(C)O,,,,,,
