,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
27,1900028,"(3aR,9S,10S)-1,2-(1,3-Butadiene-1,4-diyl)-7,8-(1,3-butadiene-1,4-diyl)-N-phenyl-3,3-dimethyl-3a,9-methano-3,3a,9,10-tetrahydro-4-oxa-10a-azabenzo[f]azulene-10-carboxamide",CC1(C2=CC=CC=C2N3[C@@]14C[C@H]([C@H]3C(=O)NC5=CC=CC=C5)C6=C(O4)C=CC7=CC=CC=C76)C,,,,,,
28,1900029,(E)-2-cyano-N-(4-methoxyphenyl)-3-(5-(p-tolyl)furan-2-yl)acrylamide,CC1=CC=C(C=C1)C2=CC=C(O2)/C=C(\C#N)/C(=O)NC3=CC=C(C=C3)OC,,,,,,
29,1900030,(Z)-2-cyano-N-(4-methoxyphenyl)-3-[5-(4-methylphenyl)furan-2-yl]prop-2-enamide,CC1=CC=C(C=C1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC=C(C=C3)OC,,,,,,
30,1900031,"[(2R,3R,4S)-4-anilino-2-ethyl-3-methyl-3,4-dihydro-2H-quinolin-1-yl]-(4-tert-butylphenyl)methanone",CC[C@@H]1[C@@H]([C@@H](C2=CC=CC=C2N1C(=O)C3=CC=C(C=C3)C(C)(C)C)NC4=CC=CC=C4)C,,,,,,
31,1900032,"cis-2-(2,4-Dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolane-4-methanol methanesulfonate",CS(=O)(=O)OC[C@H]1CO[C@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,,,,,,
32,1900033,"1,3-Dioxolane-4-methanol, 2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-, 4-methanesulfonate, (2R,4S)-rel-",CS(=O)(=O)OC[C@@H]1CO[C@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,,,,,,
33,1900034,"[(2S,4R)-2-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methyl methanesulfonate",CS(=O)(=O)OC[C@H]1CO[C@@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,,,,,,
34,1900035,Einecs 267-749-5,CS(=O)(=O)OC[C@@H]1CO[C@@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,,,,,,
35,1900036,CID 1900036,COC1([C@@]2(C[C@@H]([C@]1(C(=C2Cl)Cl)Cl)C(=O)N3C4=CC=CC=C4OC3=O)Cl)OC,,,,,,
36,1900037,CID 1900037,COC1([C@]2(C[C@@H]([C@@]1(C(=C2Cl)Cl)Cl)C(=O)N3C4=CC=CC=C4OC3=O)Cl)OC,,,,,,
37,1900038,[3-(1-benzofuran-2-yl)-4-oxo-2-(trifluoromethyl)chromen-7-yl] (2R)-3-methyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]butanoate,CC(C)[C@H](C(=O)OC1=CC2=C(C=C1)C(=O)C(=C(O2)C(F)(F)F)C3=CC4=CC=CC=C4O3)NC(=O)OC(C)(C)C,,,,,,
38,1900039,"3,6-Diamino-4-(4-bromophenyl)-5-cyanothieno[2,3-b]pyridin-7-ium-2-carboxamide",C1=CC(=CC=C1C2=C(C(=[NH+]C3=C2C(=C(S3)C(=O)N)N)N)C#N)Br,,,,,,
39,1900040,"3,6-Diamino-4-(4-bromophenyl)-5-cyanothieno[2,3-b]pyridine-2-carboxamide",C1=CC(=CC=C1C2=C(C(=NC3=C2C(=C(S3)C(=O)N)N)N)C#N)Br,,,,,,
40,1900041,CID 1900041,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)[N-]C4=CC=C(C=C4)Br)OCC)C,,,,,,
41,1900042,CID 1900042,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)NC4=CC=C(C=C4)Br)OCC)C,,,,,,
42,1900043,"3-phenyl-2-(propylthio)-3,5,6,7,8,9-hexahydro-4H-cyclohepta[4,5]thieno[2,3-d]pyrimidin-4-one",CCCSC1=NC2=C(C3=C(S2)CCCCC3)C(=O)N1C4=CC=CC=C4,,,,,,
43,1900044,CID 1900044,CC1=CC=C(C=C1)C2=C(N=C(N2)C3=CC(=CC=C3)[N+](=O)O)C4=CC=CC=C4,,,,,,
44,1900045,"2-{[(4-Chlorophenyl)sulfanyl]methyl}-4,6-diphenyl-1,3,5-triazine",C1=CC=C(C=C1)C2=NC(=NC(=N2)CSC3=CC=C(C=C3)Cl)C4=CC=CC=C4,,,,,,
