,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1895001,"2-({[2-(2,3-dimethylphenyl)-1,3-dioxo-2,3-dihydro-1H-isoindol-5-yl]carbonyl}amino)-5-hydroxybenzoic acid",CC1=C(C(=CC=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)NC4=C(C=C(C=C4)O)C(=O)O)C,,,,,,
1,1895002,"methyl (3-{(E)-[1-(4-chlorophenyl)-4,6-dioxo-2-thioxotetrahydropyrimidin-5(2H)-ylidene]methyl}-1H-indol-1-yl)acetate",COC(=O)CN1C=C(C2=CC=CC=C21)/C=C/3\C(=O)NC(=S)N(C3=O)C4=CC=C(C=C4)Cl,,,,,,
2,1895003,"(Z)-methyl 2-(3-((1-(4-chlorophenyl)-4,6-dioxo-2-thioxotetrahydropyrimidin-5(2H)-ylidene)methyl)-1H-indol-1-yl)acetate",COC(=O)CN1C=C(C2=CC=CC=C21)/C=C\3/C(=O)NC(=S)N(C3=O)C4=CC=C(C=C4)Cl,,,,,,
3,1895004,"8-methoxy-4-[(3S)-3-methylpiperidin-1-yl]-5H-pyrimido[5,4-b]indole",C[C@H]1CCCN(C1)C2=NC=NC3=C2NC4=C3C=C(C=C4)OC,,,,,,
4,1895005,"8-methoxy-4-[(3R)-3-methylpiperidin-1-yl]-5H-pyrimido[5,4-b]indole",C[C@@H]1CCCN(C1)C2=NC=NC3=C2NC4=C3C=C(C=C4)OC,,,,,,
5,1895006,"(2S)-2-[(4-cyano-1-piperidin-1-yl-5,6,7,8-tetrahydroisoquinolin-2-ium-3-yl)sulfanyl]propanoate",C[C@@H](C(=O)[O-])SC1=C(C2=C(CCCC2)C(=[NH+]1)N3CCCCC3)C#N,,,,,,
6,1895007,CID 1895007,C[C@@H](C(=O)O)SC1=C(C2=C(CCCC2)C(=[N+]3CCCCC3)N1)C#N,,,,,,
7,1895008,"(2R)-2-[(4-cyano-1-piperidin-1-yl-5,6,7,8-tetrahydroisoquinolin-2-ium-3-yl)sulfanyl]propanoate",C[C@H](C(=O)[O-])SC1=C(C2=C(CCCC2)C(=[NH+]1)N3CCCCC3)C#N,,,,,,
8,1895009,CID 1895009,C[C@H](C(=O)O)SC1=C(C2=C(CCCC2)C(=[N+]3CCCCC3)N1)C#N,,,,,,
9,1895010,"(5E)-3-benzyl-5-[1-(4-methylphenyl)sulfonyl-2-oxoindol-3-ylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3/C(=C\4/C(=O)N(C(=S)S4)CC5=CC=CC=C5)/C2=O,,,,,,
10,1895011,"(3Z)-3-(3-benzyl-4-oxo-2-thioxo-1,3-thiazolidin-5-ylidene)-1-[(4-methylphenyl)sulfonyl]-1,3-dihydro-2H-indol-2-one",CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3/C(=C/4\C(=O)N(C(=S)S4)CC5=CC=CC=C5)/C2=O,,,,,,
11,1895012,N-[[2-bromo-4-[(4-chlorophenyl)methoxy]-5-methoxyphenyl]methylideneamino]pyridine-2-carboxamide,COC1=C(C=C(C(=C1)C=NNC(=O)C2=CC=CC=N2)Br)OCC3=CC=C(C=C3)Cl,,,,,,
12,1895013,"ethyl (2Z,5S)-7-methyl-2-[(5-methylfuran-2-yl)methylidene]-3-oxo-5-phenyl-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@H]1C3=CC=CC=C3)C(=O)/C(=C/C4=CC=C(O4)C)/S2)C,,,,,,
13,1895014,"ethyl (2E,5S)-7-methyl-2-[(5-methylfuran-2-yl)methylidene]-3-oxo-5-phenyl-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@H]1C3=CC=CC=C3)C(=O)/C(=C\C4=CC=C(O4)C)/S2)C,,,,,,
14,1895015,"ethyl (2Z,5R)-7-methyl-2-[(5-methylfuran-2-yl)methylidene]-3-oxo-5-phenyl-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@@H]1C3=CC=CC=C3)C(=O)/C(=C/C4=CC=C(O4)C)/S2)C,,,,,,
15,1895016,"ethyl (2E,5R)-7-methyl-2-[(5-methylfuran-2-yl)methylidene]-3-oxo-5-phenyl-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N([C@@H]1C3=CC=CC=C3)C(=O)/C(=C\C4=CC=C(O4)C)/S2)C,,,,,,
16,1895017,CID 1895017,C1=CC=C(C=C1)C(=O)[C@H]2[C@H]3[C@@H]([C@@H]4N2N=CC5=CC=CC=C45)C(=O)N(C3=O)C6=CC=CC(=C6)C(F)(F)F,,,,,,
17,1895018,CID 1895018,CCOC1=CC=C(C=C1)N2C(=O)[C@H]3[C@@H]([NH+]4CCC[NH+]4[C@H]3C2=O)C5=CC=C(C=C5)C,,,,,,
18,1895019,"(2R,6S,7R)-4-(4-ethoxyphenyl)-7-(4-methylphenyl)-1,4,8-triazatricyclo[6.3.0.02,6]undecane-3,5-dione",CCOC1=CC=C(C=C1)N2C(=O)[C@H]3[C@@H](N4CCCN4[C@H]3C2=O)C5=CC=C(C=C5)C,,,,,,
19,1895020,"2-[(3-{(E)-[1-(4-chlorophenyl)-2,4,6-trioxotetrahydropyrimidin-5(2H)-ylidene]methyl}-1H-indol-1-yl)methyl]benzonitrile",C1=CC=C(C(=C1)CN2C=C(C3=CC=CC=C32)/C=C/4\C(=O)NC(=O)N(C4=O)C5=CC=C(C=C5)Cl)C#N,,,,,,
20,1895021,"(Z)-2-((3-((1-(4-chlorophenyl)-2,4,6-trioxotetrahydropyrimidin-5(2H)-ylidene)methyl)-1H-indol-1-yl)methyl)benzonitrile",C1=CC=C(C(=C1)CN2C=C(C3=CC=CC=C32)/C=C\4/C(=O)NC(=O)N(C4=O)C5=CC=C(C=C5)Cl)C#N,,,,,,
21,1895022,3-(4-Bromophenyl)sulfonylimino-4-oxo-2-(3-prop-2-enylimidazol-3-ium-1-yl)naphthalen-1-olate,C=CC[N+]1=CN(C=C1)C2=C(C3=CC=CC=C3C(=O)C2=NS(=O)(=O)C4=CC=C(C=C4)Br)[O-],,,,,,
22,1895023,"4-bromo-N-[1,4-dioxo-3-(3-prop-2-enylimidazol-3-ium-1-yl)naphthalen-2-yl]benzenesulfonamide",C=CC[N+]1=CN(C=C1)C2=C(C(=O)C3=CC=CC=C3C2=O)NS(=O)(=O)C4=CC=C(C=C4)Br,,,,,,
