,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,2125001,"N-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-2-(1H-indol-3-yl)acetamide",COC1=C(C=C(C=C1)C2=CSC(=N2)NC(=O)CC3=CNC4=CC=CC=C43)OC,,,,,,
1,2125002,"N'-[4-(2,4-dichlorophenoxy)butanoyl]-3-oxo-2,4-dihydro-1H-pyridazine-6-carbohydrazide",C1C=C(NNC1=O)C(=O)NNC(=O)CCCOC2=C(C=C(C=C2)Cl)Cl,,,,,,
2,2125003,CID 2125003,CCOC1=C(C=CC=[NH+]1)C(=O)NC2=C(C3=C(S2)CCCC3)C4=NC5=CC=CC=C5N4,,,,,,
3,2125004,"N-[3-(1H-benzimidazol-2-yl)-4,5,6,7-tetrahydro-1-benzothiophen-2-yl]-2-ethoxypyridine-3-carboxamide",CCOC1=C(C=CC=N1)C(=O)NC2=C(C3=C(S2)CCCC3)C4=NC5=CC=CC=C5N4,,,,,,
4,2125005,CID 2125005,C1=CC=C(C=C1)C[C@@H](C2=[NH+]C3=CC=CC=C3N2)NC(=O)C4=CC=C(C=C4)C#N,,,,,,
5,2125006,N-[(1S)-1-(1H-benzimidazol-2-yl)-2-phenylethyl]-4-cyanobenzamide,C1=CC=C(C=C1)C[C@@H](C2=NC3=CC=CC=C3N2)NC(=O)C4=CC=C(C=C4)C#N,,,,,,
6,2125007,CID 2125007,C1=CC=C(C=C1)C[C@H](C2=[NH+]C3=CC=CC=C3N2)NC(=O)C4=CC=C(C=C4)C#N,,,,,,
7,2125008,N-[(1R)-1-(1H-benzimidazol-2-yl)-2-phenylethyl]-4-cyanobenzamide,C1=CC=C(C=C1)C[C@H](C2=NC3=CC=CC=C3N2)NC(=O)C4=CC=C(C=C4)C#N,,,,,,
8,2125009,"N'-[2-(1,3-benzothiazol-2-ylsulfanyl)acetyl]-3-cyclopentylpropanehydrazide",C1CCC(C1)CCC(=O)NNC(=O)CSC2=NC3=CC=CC=C3S2,,,,,,
9,2125010,3-(cyclohexylsulfanylmethyl)-N-[2-(4-sulfamoylphenyl)ethyl]-1-benzofuran-2-carboxamide,C1CCC(CC1)SCC2=C(OC3=CC=CC=C32)C(=O)NCCC4=CC=C(C=C4)S(=O)(=O)N,,,,,,
10,2125011,N-[4-(difluoromethoxy)phenyl]-4-(2-ethoxyphenoxy)butanamide,CCOC1=CC=CC=C1OCCCC(=O)NC2=CC=C(C=C2)OC(F)F,,,,,,
11,2125012,3-butyl-4-oxo-N-[2-(4-sulfamoylphenyl)ethyl]phthalazine-1-carboxamide,CCCCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NCCC3=CC=C(C=C3)S(=O)(=O)N,,,,,,
12,2125013,"[2-(2-methyl-1H-indol-3-yl)-2-oxoethyl] 2-(2,3-dihydro-1H-inden-5-yloxy)acetate",CC1=C(C2=CC=CC=C2N1)C(=O)COC(=O)COC3=CC4=C(CCC4)C=C3,,,,,,
13,2125014,CID 2125014,C1=CC=C(C(=C1)COC(=O)CCC2=NC(=O)C3=CC=CC=C3N2)F,,,,,,
14,2125015,"[2-[4-(diethylsulfamoyl)anilino]-2-oxoethyl] 3-oxo-2,4-dihydro-1H-pyridazine-6-carboxylate",CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)COC(=O)C2=CCC(=O)NN2,,,,,,
15,2125016,(2S)-2-(1-methyltetrazol-5-yl)sulfanyl-N-(4-morpholin-4-ylphenyl)propanamide,C[C@@H](C(=O)NC1=CC=C(C=C1)N2CCOCC2)SC3=NN=NN3C,,,,,,
16,2125017,(2R)-2-(1-methyltetrazol-5-yl)sulfanyl-N-(4-morpholin-4-ylphenyl)propanamide,C[C@H](C(=O)NC1=CC=C(C=C1)N2CCOCC2)SC3=NN=NN3C,,,,,,
17,2125018,[2-(7-ethyl-1H-indol-3-yl)-2-oxoethyl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,CCC1=C2C(=CC=C1)C(=CN2)C(=O)COC(=O)/C=C/C3=CC(=C(C=C3)O)OC,,,,,,
18,2125019,[2-(7-ethyl-1H-indol-3-yl)-2-oxoethyl] 4-(diethylsulfamoyl)benzoate,CCC1=C2C(=CC=C1)C(=CN2)C(=O)COC(=O)C3=CC=C(C=C3)S(=O)(=O)N(CC)CC,,,,,,
19,2125020,"(2S)-2-[[5-(4-methylanilino)-1,3,4-thiadiazol-2-yl]sulfanyl]-N-(4-morpholin-4-ylphenyl)propanamide",CC1=CC=C(C=C1)NC2=NN=C(S2)S[C@@H](C)C(=O)NC3=CC=C(C=C3)N4CCOCC4,,,,,,
20,2125021,"(2R)-2-[[5-(4-methylanilino)-1,3,4-thiadiazol-2-yl]sulfanyl]-N-(4-morpholin-4-ylphenyl)propanamide",CC1=CC=C(C=C1)NC2=NN=C(S2)S[C@H](C)C(=O)NC3=CC=C(C=C3)N4CCOCC4,,,,,,
21,2125022,[2-(7-ethyl-1H-indol-3-yl)-2-oxoethyl] benzoate,CCC1=C2C(=CC=C1)C(=CN2)C(=O)COC(=O)C3=CC=CC=C3,,,,,,
22,2125023,[2-[(2-methylpropan-2-yl)oxy]-2-oxoethyl] (E)-3-[4-(azepan-1-ylsulfonyl)phenyl]prop-2-enoate,CC(C)(C)OC(=O)COC(=O)/C=C/C1=CC=C(C=C1)S(=O)(=O)N2CCCCCC2,,,,,,
23,2125024,"2-[(4-Amino-5-thiophen-2-yl-1,2,4-triazol-3-yl)sulfanyl]-1-[4-(benzenesulfonyl)piperazin-1-yl]ethanone",C1CN(CCN1C(=O)CSC2=NN=C(N2N)C3=CC=CS3)S(=O)(=O)C4=CC=CC=C4,,,,,,
24,2125025,CID 2125025,COC1=C(C=CC(=C1)/C=C\C(=O)OCC(=C(C#N)C2=NC3=CC=CC=C3N2)O)OC(F)F,,,,,,
25,2125026,CID 2125026,COC1=C(C=CC(=C1)/C=C/C(=O)OCC(=C(C#N)C2=NC3=CC=CC=C3N2)O)OC(F)F,,,,,,
26,2125027,"N-(1,3-benzodioxol-5-ylmethyl)-2-[(5-cyclohexyl-4-prop-2-enyl-1,2,4-triazol-3-yl)sulfanyl]acetamide",C=CCN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4CCCCC4,,,,,,
27,2125028,"[2-[2,5-dimethyl-1-[[(2R)-oxolan-2-yl]methyl]pyrrol-3-yl]-2-oxoethyl] 4-(1,3-dioxoisoindol-2-yl)benzoate",CC1=CC(=C(N1C[C@H]2CCCO2)C)C(=O)COC(=O)C3=CC=C(C=C3)N4C(=O)C5=CC=CC=C5C4=O,,,,,,
28,2125029,"[2-[2,5-dimethyl-1-[[(2S)-oxolan-2-yl]methyl]pyrrol-3-yl]-2-oxoethyl] 4-(1,3-dioxoisoindol-2-yl)benzoate",CC1=CC(=C(N1C[C@@H]2CCCO2)C)C(=O)COC(=O)C3=CC=C(C=C3)N4C(=O)C5=CC=CC=C5C4=O,,,,,,
29,2125030,"[(2R)-1-oxo-1-[(4-phenyl-1,3-thiazol-2-yl)amino]propan-2-yl] 4-acetyl-3,5-dimethyl-1H-pyrrole-2-carboxylate",CC1=C(NC(=C1C(=O)C)C)C(=O)O[C@H](C)C(=O)NC2=NC(=CS2)C3=CC=CC=C3,,,,,,
30,2125031,"[(2S)-1-oxo-1-[(4-phenyl-1,3-thiazol-2-yl)amino]propan-2-yl] 4-acetyl-3,5-dimethyl-1H-pyrrole-2-carboxylate",CC1=C(NC(=C1C(=O)C)C)C(=O)O[C@@H](C)C(=O)NC2=NC(=CS2)C3=CC=CC=C3,,,,,,
31,2125032,"[2-(4-Amino-1,3-dimethyl-2,6-dioxopyrimidin-5-yl)-2-oxoethyl] 4-(3,5-dimethylpyrazol-1-yl)benzoate",CC1=CC(=NN1C2=CC=C(C=C2)C(=O)OCC(=O)C3=C(N(C(=O)N(C3=O)C)C)N)C,,,,,,
