,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,760001,ethyl (2S)-2-benzyl-3-(2-methoxyanilino)-3-oxopropanoate,CCOC(=O)[C@@H](CC1=CC=CC=C1)C(=O)NC2=CC=CC=C2OC,,,,,,
1,760002,2-[(2-Bromobenzoyl)amino]-5-methyl-3-thiophenecarboxylic acid,CC1=CC(=C(S1)NC(=O)C2=CC=CC=C2Br)C(=O)O,,,,,,
2,760003,2-Benzamido-5-methylthiophene-3-carboxylic acid,CC1=CC(=C(S1)NC(=O)C2=CC=CC=C2)C(=O)O,,,,,,
3,760004,ethyl (2R)-2-benzyl-3-(4-chloroanilino)-3-oxopropanoate,CCOC(=O)[C@H](CC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)Cl,,,,,,
4,760005,4-Isobutyl-2-(3-methyl-benzoylamino)-thiophene-3-carboxylic acid,CC1=CC(=CC=C1)C(=O)NC2=C(C(=CS2)CC(C)C)C(=O)O,,,,,,
5,760006,"4,5-Dimethyl-2-[(3-methylbenzoyl)amino]-3-thiophenecarboxylic acid",CC1=CC(=CC=C1)C(=O)NC2=C(C(=C(S2)C)C)C(=O)O,,,,,,
6,760007,ethyl (2S)-2-benzyl-3-(4-chloroanilino)-3-oxopropanoate,CCOC(=O)[C@@H](CC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)Cl,,,,,,
7,760008,5-Methyl-2-{[(4-methylphenyl)carbonyl]amino}thiophene-3-carboxylic acid,CC1=CC=C(C=C1)C(=O)NC2=C(C=C(S2)C)C(=O)O,,,,,,
8,760009,"4,5-Dimethyl-2-[(4-methylbenzoyl)amino]thiophene-3-carboxylic acid",CC1=CC=C(C=C1)C(=O)NC2=C(C(=C(S2)C)C)C(=O)O,,,,,,
9,760010,4-Methyl-2-[(4-methylbenzoyl)amino]-5-propyl-3-thiophenecarboxylic acid,CCCC1=C(C(=C(S1)NC(=O)C2=CC=C(C=C2)C)C(=O)O)C,,,,,,
10,760011,"2-[(2-methoxybenzoyl)amino]-5,6-dihydro-4H-cyclopenta[b]thiophene-3-carboxylic acid",COC1=CC=CC=C1C(=O)NC2=C(C3=C(S2)CCC3)C(=O)O,,,,,,
11,760012,2-(2-Methoxy-benzoylamino)-5-methyl-thiophene-3-carboxylic acid,CC1=CC(=C(S1)NC(=O)C2=CC=CC=C2OC)C(=O)O,,,,,,
12,760013,2-[(4-Methoxybenzoyl)amino]-5-methyl-3-thiophenecarboxylic acid,CC1=CC(=C(S1)NC(=O)C2=CC=C(C=C2)OC)C(=O)O,,,,,,
13,760014,"2-{[(4-methoxyphenyl)carbonyl]amino}-5,6-dihydro-4H-cyclopenta[b]thiophene-3-carboxylic acid",COC1=CC=C(C=C1)C(=O)NC2=C(C3=C(S2)CCC3)C(=O)O,,,,,,
14,760015,2-{[4-(Tert-butyl)benzoyl]amino}-5-methyl-3-thiophenecarboxylic acid,CC1=CC(=C(S1)NC(=O)C2=CC=C(C=C2)C(C)(C)C)C(=O)O,,,,,,
15,760016,"2-[3-(4-Methoxyphenyl)prop-2-enoylamino]-4,5-dimethylthiophene-3-carboxylic acid",CC1=C(SC(=C1C(=O)O)NC(=O)C=CC2=CC=C(C=C2)OC)C,,,,,,
16,760017,"2-{[3-(4-Methoxyphenyl)acryloyl]amino}-4,5-dimethyl-3-thiophenecarboxylic acid",CC1=C(SC(=C1C(=O)O)NC(=O)/C=C/C2=CC=C(C=C2)OC)C,,,,,,
17,760018,N-benzylmorpholine-4-carboxamide,C1COCCN1C(=O)NCC2=CC=CC=C2,,,,,,
18,760019,6-Morpholin-4-ylsulfonylnaphthalen-2-ol,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)C=C(C=C3)O,,,,,,
19,760020,(2R)-N-(4-methoxyphenyl)-5-oxopyrrolidine-2-carboxamide,COC1=CC=C(C=C1)NC(=O)[C@H]2CCC(=O)N2,,,,,,
20,760021,"4,6-dimethyl-7,8,9,10-tetrahydro-2H-pyrano[2,3-f]quinolin-2-one",CC1=CC2=C(C3=C1NCCC3)OC(=O)C=C2C,,,,,,
