,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1880001,"2-amino-1-[(3,4-dihydroxyphenyl)methylideneamino]-N-(2-phenylethyl)pyrrolo[3,2-b]quinoxaline-3-carboxamide",C1=CC=C(C=C1)CCNC(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)N=CC5=CC(=C(C=C5)O)O)N,,,,,,
1,1880002,CID 1880002,CC1=CC=C(C=C1)[C@H]2[C@@H](C(=O)C(=O)N2C3=NC4=C(S3)C=C(C=C4)C)C(=O)C5=CC(=C(C=C5)OC)C,,,,,,
2,1880003,CID 1880003,CC1=CC=C(C=C1)[C@@H]2[C@@H](C(=O)C(=O)N2C3=NC4=C(S3)C=C(C=C4)C)C(=O)C5=CC(=C(C=C5)OC)C,,,,,,
3,1880004,CID 1880004,CCC1=CC2=C(C=C1)N=C(S2)N3[C@H]([C@H](C(=O)C3=O)C(=O)C4=CC=CO4)C5=CC(=CC=C5)OCC=C,,,,,,
4,1880005,CID 1880005,CCC1=CC2=C(C=C1)N=C(S2)N3[C@@H]([C@H](C(=O)C3=O)C(=O)C4=CC=CO4)C5=CC(=CC=C5)OCC=C,,,,,,
5,1880006,CID 1880006,CCCOC1=CC=CC(=C1)[C@H]2[C@@H](C(=O)C(=O)N2C3=NOC(=C3)C)C(=O)C4=CC=C(C=C4)F,,,,,,
6,1880007,CID 1880007,CCCOC1=CC=CC(=C1)[C@@H]2[C@H](C(=O)C(=O)N2C3=NOC(=C3)C)C(=O)C4=CC=C(C=C4)F,,,,,,
7,1880008,CID 1880008,CC1=CC(=C2C(=C1)SC(=N2)N3[C@H]([C@H](C(=O)C3=O)C(=O)C4=CC(=C(C=C4)OC)C)C5=CC=CC=C5)C,,,,,,
8,1880009,CID 1880009,CC1=CC(=C2C(=C1)SC(=N2)N3[C@@H]([C@H](C(=O)C3=O)C(=O)C4=CC(=C(C=C4)OC)C)C5=CC=CC=C5)C,,,,,,
9,1880010,"N-(3,4-difluorophenyl)-2-[4-(propan-2-yloxy)phenyl]quinazolin-4-amine",CC(C)OC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,,,,,,
10,1880011,"2-amino-1-(benzylideneamino)-N-(2-methoxyethyl)pyrrolo[3,2-b]quinoxaline-3-carboxamide",COCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)N=CC4=CC=CC=C4)N,,,,,,
11,1880012,CID 1880012,CCSC1=CC=C(C=C1)C2=NN(C=C2/C=C/3\C(=O)N(C(=S)S3)C[C@H]4CCCO4)C5=CC=CC=C5,,,,,,
12,1880013,"(5Z)-5-[[3-(4-ethylsulfanylphenyl)-1-phenylpyrazol-4-yl]methylidene]-3-[[(2R)-oxolan-2-yl]methyl]-2-sulfanylidene-1,3-thiazolidin-4-one",CCSC1=CC=C(C=C1)C2=NN(C=C2/C=C\3/C(=O)N(C(=S)S3)C[C@H]4CCCO4)C5=CC=CC=C5,,,,,,
13,1880014,CID 1880014,CCSC1=CC=C(C=C1)C2=NN(C=C2/C=C/3\C(=O)N(C(=S)S3)C[C@@H]4CCCO4)C5=CC=CC=C5,,,,,,
14,1880015,"(5Z)-5-[[3-(4-ethylsulfanylphenyl)-1-phenylpyrazol-4-yl]methylidene]-3-[[(2S)-oxolan-2-yl]methyl]-2-sulfanylidene-1,3-thiazolidin-4-one",CCSC1=CC=C(C=C1)C2=NN(C=C2/C=C\3/C(=O)N(C(=S)S3)C[C@@H]4CCCO4)C5=CC=CC=C5,,,,,,
15,1880016,"3-(4-chlorobenzyl)-11-(2-methoxybenzyl)-3,11-dihydro-4H-pyrimido[5',4':4,5]pyrrolo[2,3-b]quinoxalin-4-one",COC1=CC=CC=C1CN2C3=C(C4=NC5=CC=CC=C5N=C42)C(=O)N(C=N3)CC6=CC=C(C=C6)Cl,,,,,,
16,1880017,"ethyl 4-(3-cyclopentyl-2-methyl-4-oxo-3,4-dihydro-11H-pyrimido[5',4':4,5]pyrrolo[2,3-b]quinoxalin-11-yl)benzoate",CCOC(=O)C1=CC=C(C=C1)N2C3=C(C4=NC5=CC=CC=C5N=C42)C(=O)N(C(=N3)C)C6CCCC6,,,,,,
17,1880018,CID 1880018,C1=CC=C2C(=C1)NC3=NC(=[N+](C3=N2)C4=CC(=CC=C4)Br)C5=CC=C(C=C5)F,,,,,,
18,1880019,"2-(7,8-dimethoxy-4-oxo-5H-pyrimido[5,4-b]indol-3-yl)ethyl-di(propan-2-yl)azanium",CC(C)[NH+](CCN1C=NC2=C(C1=O)NC3=CC(=C(C=C32)OC)OC)C(C)C,,,,,,
19,1880020,CID 1880020,CC1=[NH+]C=C2CO[C@H](C2=C1O)C3=C(N(C(=S)N(C3=O)C4=CC=CC=C4)C5=CC=CC=C5)O,,,,,,
20,1880021,"6-hydroxy-5-[(1R)-7-hydroxy-6-methyl-1,3-dihydrofuro[3,4-c]pyridin-1-yl]-1,3-diphenyl-2-sulfanylidenepyrimidin-4-one",CC1=NC=C2CO[C@H](C2=C1O)C3=C(N(C(=S)N(C3=O)C4=CC=CC=C4)C5=CC=CC=C5)O,,,,,,
21,1880022,CID 1880022,CC1=[NH+]C=C2CO[C@@H](C2=C1O)C3=C(N(C(=S)N(C3=O)C4=CC=CC=C4)C5=CC=CC=C5)O,,,,,,
22,1880023,"6-hydroxy-5-[(1S)-7-hydroxy-6-methyl-1,3-dihydrofuro[3,4-c]pyridin-1-yl]-1,3-diphenyl-2-sulfanylidenepyrimidin-4-one",CC1=NC=C2CO[C@@H](C2=C1O)C3=C(N(C(=S)N(C3=O)C4=CC=CC=C4)C5=CC=CC=C5)O,,,,,,
23,1880024,"3,4-bis[(2-methoxybenzyl)oxy]-7,8,9,10-tetrahydro-6H-benzo[c]chromen-6-one",COC1=CC=CC=C1COC2=C(C3=C(C=C2)C4=C(CCCC4)C(=O)O3)OCC5=CC=CC=C5OC,,,,,,
24,1880025,(5E)-5-[[4-(dimethylamino)phenyl]methylidene]-3-(4-ethoxyphenyl)-2-sulfanylideneimidazolidin-4-one,CCOC1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(C=C3)N(C)C)/NC2=S,,,,,,
25,1880026,"1-(1,3-benzodioxol-5-ylmethyl)-2-phenyl-1H-imidazo[4,5-b]quinoxaline",C1OC2=C(O1)C=C(C=C2)CN3C(=NC4=NC5=CC=CC=C5N=C43)C6=CC=CC=C6,,,,,,
26,1880027,3-[1-(5-Chloro-2-methoxyphenyl)-5-thiophen-2-ylpyrrol-2-yl]propanoate,COC1=C(C=C(C=C1)Cl)N2C(=CC=C2C3=CC=CS3)CCC(=O)[O-],,,,,,
27,1880028,3-[1-(5-chloro-2-methoxyphenyl)-5-(thiophen-2-yl)-1H-pyrrol-2-yl]propanoic acid,COC1=C(C=C(C=C1)Cl)N2C(=CC=C2C3=CC=CS3)CCC(=O)O,,,,,,
28,1880029,CID 1880029,CC1=CC=C(O1)C(=O)[C@@H]2[C@@H](N(C(=O)C2=O)C3=NOC(=C3)C)C4=CC=C(C=C4)[N+](=O)[O-],,,,,,
29,1880030,CID 1880030,CC1=CC=C(O1)C(=O)[C@@H]2[C@H](N(C(=O)C2=O)C3=NOC(=C3)C)C4=CC=C(C=C4)[N+](=O)[O-],,,,,,
30,1880031,CID 1880031,CC(C)(C)C1=CC=C(C=C1)C=NN2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)NC[C@H]5CCCO5)N,,,,,,
31,1880032,CID 1880032,CC(C)(C)C1=CC=C(C=C1)C=NN2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)NC[C@@H]5CCCO5)N,,,,,,
32,1880033,"2-amino-N-(4-chlorobenzyl)-1-(3,5-dimethoxyphenyl)-1H-pyrrolo[2,3-b]quinoxaline-3-carboxamide",COC1=CC(=CC(=C1)N2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)NCC5=CC=C(C=C5)Cl)N)OC,,,,,,
33,1880034,"N-phenyl-2-[(2,2,5-trimethyl-1,4-dihydro-2H-pyrano[4'',3'':4',5']pyrido[3',2':4,5]thieno[3,2-d]pyrimidin-8-yl)sulfanyl]acetamide",CC1=C2COC(CC2=C3C4=C(C(=NC=N4)SCC(=O)NC5=CC=CC=C5)SC3=N1)(C)C,,,,,,
34,1880035,"3-(4-methoxyphenyl)-2-(pentylsulfanyl)-3H-spiro[benzo[h]quinazoline-5,1'-cyclopentan]-4(6H)-one",CCCCCSC1=NC2=C(C(=O)N1C3=CC=C(C=C3)OC)C4(CCCC4)CC5=CC=CC=C52,,,,,,
35,1880036,"2-(4-methoxyphenyl)-1-[3-(trifluoromethyl)phenyl]-1H-imidazo[4,5-b]quinoxaline",COC1=CC=C(C=C1)C2=NC3=NC4=CC=CC=C4N=C3N2C5=CC=CC(=C5)C(F)(F)F,,,,,,
36,1880037,"3-cyclopentyl-11-(3,5-dimethylphenyl)-3,11-dihydro-4H-pyrimido[5',4':4,5]pyrrolo[2,3-b]quinoxalin-4-one",CC1=CC(=CC(=C1)N2C3=C(C4=NC5=CC=CC=C5N=C42)C(=O)N(C=N3)C6CCCC6)C,,,,,,
37,1880038,"N-{[2-(1,3-benzodioxol-5-ylcarbonyl)hydrazinyl]carbonothioyl}-5-methyl-3-phenyl-1,2-oxazole-4-carboxamide",CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC(=S)NNC(=O)C3=CC4=C(C=C3)OCO4,,,,,,
38,1880039,CID 1880039,CC1=CC=CC=C1NC(=O)CSC2=C3C(=NC=[NH+]2)C4=C5CC(OCC5=C(N=C4S3)C)(C)C,,,,,,
39,1880040,"N-(2-methylphenyl)-2-[(2,2,5-trimethyl-1,4-dihydro-2H-pyrano[4'',3'':4',5']pyrido[3',2':4,5]thieno[3,2-d]pyrimidin-8-yl)sulfanyl]acetamide",CC1=CC=CC=C1NC(=O)CSC2=NC=NC3=C2SC4=NC(=C5COC(CC5=C34)(C)C)C,,,,,,
40,1880041,CID 1880041,CC[NH+](CC)CCN1[C@H]([C@@H](C(=O)C1=O)C(=O)C2=CC=C(C=C2)OCC3=CC=CC(=C3)C)C4=CC(=CC=C4)O,,,,,,
